run,number_of_clones,number_of_reads
HIP04958.txt,32126,56755
HIP01501.txt,48307,426369
HIP05467.txt,65267,2395482
HIP00710.txt,85806,812692
HIP01384.txt,132982,8409263
HIP00110.txt,124200,4024856
HIP05665.txt,125421,197218
HIP03194.txt,138353,2080228
HIP05311.txt,125825,345760
HIP02780.txt,174479,280501
HIP02997.txt,153882,9023620
HIP05524.txt,84427,4089617
HIP00822.txt,161298,6961177
HIP04509.txt,177581,7070694
HIP01253.txt,198729,1698261
HIP03618.txt,204107,9503726
HIP01797.txt,205901,6840008
HIP01129.txt,219568,521422
HIP01571.txt,170045,7143071
HIP02873.txt,243096,2693588
HIP00169.txt,112862,1326663
HIP05757.txt,103383,1535839
HIP03495.txt,264836,2192034
HIP05763.txt,1424,7146
HIP01867.txt,276845,1785375
HIP05405.txt,301033,9974002
HIP00985.txt,302348,6562540
HIP02790.txt,127202,1392442
HIP05841.txt,295872,5057995
HIP01197.txt,300247,8726263
HIP04510.txt,131278,8856884
HIP05331.txt,149686,8381573
HIP00898.txt,324541,2646775
HIP01391.txt,191835,7685929
HIP05559.txt,328108,9205018
HIP01582.txt,124321,5557620
HIP03693.txt,355328,6801876
HIP03197.txt,219676,3368950
HIP03370.txt,368015,5999067
HIP00773.txt,365697,5649780
HIP03814.txt,413528,6795466
HIP03628.txt,195073,282915
HIP05934.txt,87147,428756
HIP07754.txt,411824,628143
HIP04555.txt,424466,8139486
HIP05815.txt,171757,309239
HIP01206.txt,113546,5366715
HIP00594.txt,192216,2895778
HIP00715.txt,357902,9074434
HIP05533.txt,293316,9145178
HIP03004.txt,299116,5952225
HIP01870.txt,190492,4479338
HIP01798.txt,257573,8785742
HIP04511.txt,159657,1447370
HIP01140.txt,285761,8254723
HIP02875.txt,260412,3883261
HIP03695.txt,158296,289162
HIP02112.txt,527020,7880922
HIP05377.txt,205473,2887840
HIP03216.txt,141724,2352887
HIP01392.txt,202739,8615040
HIP04455.txt,117163,1051106
HIP05561.txt,188969,1382309
HIP00904.txt,219580,8851478
HIP00825.txt,384532,6036342
HIP00728.txt,110633,2291706
HIP01596.txt,213186,3333657
HIP01255.txt,389940,9682716
HIP02805.txt,273081,8494955
HIP02877.txt,74726,1045840
HIP03502.txt,364159,4995056
HIP03630.txt,205987,3142869
HIP00997.txt,318002,477345
HIP03378.txt,240694,2988097
HIP01218.txt,203676,2169595
HIP05409.txt,348824,8027636
HIP04527.txt,173785,3813288
HIP05941.txt,257110,3420105
HIP00775.txt,282328,6448248
HIP05817.txt,254288,1554263
HIP00602.txt,235730,9504930
HIP01160.txt,168111,7324386
HIP05563.txt,144587,7099419
HIP04576.txt,265710,1944100
HIP00734.txt,120904,4833755
HIP03099.txt,241275,5422259
HIP03720.txt,171436,6491986
HIP04464.txt,177416,1501728
HIP01947.txt,249150,602840
HIP05535.txt,281872,6786108
HIP00826.txt,203196,4874310
HIP03505.txt,142434,3161318
HIP00924.txt,208985,8764368
HIP08076.txt,354787,6723590
HIP03107.txt,72444,1823917
HIP05388.txt,269555,7143826
HIP01597.txt,239717,6154495
HIP05832.txt,121920,403856
HIP00614.txt,119478,1919032
HIP01805.txt,344970,5116410
HIP03381.txt,179543,5075238
HIP01161.txt,143657,190867
HIP01393.txt,305005,9704031
HIP02811.txt,266458,8410412
HIP02126.txt,342563,3016156
HIP05434.txt,225337,7237619
HIP01219.txt,232091,3614998
HIP00761.txt,174796,4185951
HIP03228.txt,361075,5787273
HIP01264.txt,304090,6701254
HIP01765.txt,68917,901396
HIP03651.txt,279484,6502392
HIP02928.txt,315639,5628920
HIP03732.txt,201373,9553031
HIP04471.txt,222914,3327704
HIP08200.txt,169592,4221756
HIP00999.txt,336629,8379446
HIP05574.txt,287912,6381767
HIP05540.txt,237725,2156256
HIP03383.txt,155778,2143532
HIP05942.txt,319366,9812389
HIP03111.txt,199009,16678851
HIP04578.txt,303454,6990714
HIP00777.txt,313519,6329361
HIP04532.txt,349963,4605869
HIP03511.txt,244069,5684818
HIP00832.txt,255493,5502658
HIP00640.txt,243141,7239265
HIP02024.txt,330788,7780405
HIP01465.txt,203213,8067737
HIP01820.txt,244121,4335192
HIP01162.txt,238749,8728214
HIP01795.txt,187964,9926067
HIP01220.txt,215578,8623475
HIP02931.txt,181630,2859804
HIP00769.txt,228153,5198599
HIP03591.txt,92440,1111737
HIP05390.txt,327076,8371581
HIP05838.txt,318575,3176127
HIP05948.txt,135962,827620
HIP02271.txt,249874,7962541
HIP03385.txt,158665,1740398
HIP03233.txt,273723,5330673
