,run,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34
294,330002530101_S137_L002,402,411,327,647,13,30,37,275,1,42,0,278,0,45,164,38,15,18,3,6,5,0,0,0,2,7,9,11,21,2,3,2,2,2,1
295,050001050101_S108_L002,400,117,113,536,16,2,21,106,0,21,0,90,0,3,22,36,1,15,1,0,4,0,0,0,0,6,6,11,13,4,2,0,1,2,0
296,460000990101_S149_L002,488,284,178,617,37,14,12,158,0,39,2,319,4,50,83,39,1,11,1,16,2,0,0,0,1,1,4,6,7,3,3,0,1,0,5
297,540003090101_S96_L001,249,307,58,307,49,14,6,61,0,10,1,232,0,3,1,10,0,0,2,0,0,0,0,0,0,0,2,2,8,2,0,0,0,0,1
298,270000100807_S23_L001,0,0,85,0,0,1,29,126,0,43,1,120,0,11,9,24,2,6,1,5,2,0,0,0,0,0,5,0,16,1,2,0,0,0,0
299,640003540101_S54_L001,162,490,106,428,17,1,26,232,0,23,4,54,0,25,64,27,0,8,2,2,2,0,0,0,1,5,5,12,8,8,2,0,0,5,3
300,330003400808_S167_L002,568,436,250,715,43,8,52,241,1,61,2,110,0,75,96,46,13,24,3,8,7,12,0,1,0,3,10,7,21,6,7,1,1,1,2
301,260004150101_S10_L001,674,588,7,953,41,40,16,54,0,31,2,192,8,14,17,51,14,1,2,4,3,0,0,0,0,2,11,8,22,4,1,1,0,0,1
302,500000140808_S8_L001,0,0,62,0,0,40,27,159,2,120,4,350,0,30,70,58,2,8,1,4,0,0,0,0,0,0,7,0,18,5,2,2,0,3,0
303,050000670101_S77_L001,430,259,162,405,1,4,19,185,2,36,1,75,0,15,58,25,5,3,2,0,0,0,0,0,1,1,11,4,5,6,3,1,2,1,3
304,330001940101_S135_L002,375,218,132,557,39,17,19,130,0,20,1,174,4,12,8,26,0,13,1,0,2,0,0,0,0,0,9,5,9,3,2,0,1,0,0
305,440003140101_S146_L002,411,273,240,550,29,68,26,290,1,77,1,167,0,25,41,63,3,23,1,0,6,0,0,0,0,7,9,14,15,6,2,0,0,1,0
306,050000520101_S101_L002,96,99,47,121,0,0,8,46,0,5,1,25,0,9,7,7,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,1
