,run,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34
410,440001210101_S143_L002,120,205,165,444,38,0,21,134,0,58,0,122,0,18,25,30,1,12,2,1,1,0,2,0,0,0,1,2,10,1,2,1,0,1,0
411,540002600101_S156_L002,244,234,188,453,4,16,15,159,2,43,0,107,0,1,76,11,20,3,2,2,0,0,0,0,0,10,2,4,2,2,0,1,0,5,0
412,500001920808_S20_L001,0,0,235,0,0,56,40,245,1,55,2,136,0,16,53,16,2,8,0,8,2,2,0,0,1,0,10,0,17,5,6,1,0,2,0
413,780005150101_S47_L001,379,484,359,564,60,28,28,233,0,41,2,277,4,35,145,38,6,16,4,0,0,0,0,0,0,8,5,10,5,3,2,1,0,3,2
414,280002120807_S127_L002,0,0,435,0,0,113,56,404,3,142,5,191,0,26,138,57,4,42,5,9,2,2,0,1,1,0,17,0,14,11,10,1,2,2,0
415,470001410807_S163_L002,0,0,184,0,0,26,6,54,0,44,4,208,0,13,20,38,2,2,2,3,0,0,0,0,0,0,6,0,9,5,4,0,0,0,0
416,210003330101_S68_L001,320,260,55,395,19,14,0,89,0,21,0,110,0,9,108,16,0,4,3,5,3,0,0,0,0,0,2,3,6,4,3,0,0,3,1
417,630001790807_S92_L001,0,0,109,0,0,1,7,89,0,25,1,87,0,7,27,19,1,2,2,0,0,0,0,0,0,0,3,0,1,2,3,0,0,1,0
418,140001090101_S55_L001,498,498,320,1155,6,52,50,299,1,50,2,798,5,24,224,57,1,18,3,20,0,2,0,0,0,0,13,4,23,5,4,3,0,2,4
419,550004220808_S150_L002,0,0,370,0,0,55,84,500,0,91,3,318,0,46,104,84,2,28,4,15,0,8,0,0,0,0,19,0,13,7,3,3,1,5,0
420,330001860101_S132_L002,623,488,257,593,40,29,37,236,0,45,1,298,0,7,64,51,13,2,4,11,0,0,1,0,2,1,12,8,8,3,3,2,2,4,1
421,440000330101_S141_L002,133,65,115,276,25,13,17,98,0,4,0,74,0,5,31,39,1,5,2,0,1,0,0,0,0,0,7,0,5,6,3,0,0,0,0
422,540002490807_S111_L002,0,0,870,0,0,107,119,673,0,146,6,324,0,41,205,70,2,65,4,26,4,2,0,2,1,0,11,0,35,19,12,3,0,16,0
423,230002210807_S169_L002,0,0,84,0,0,15,8,16,1,39,1,231,0,7,105,19,2,3,0,0,0,0,0,2,1,0,0,0,8,6,1,0,1,0,0
424,460000850101_S147_L002,519,392,366,724,25,46,28,410,1,44,0,186,0,46,60,34,9,32,1,6,5,0,0,0,0,7,11,8,23,7,3,0,2,1,5
425,330003180807_S94_L001,0,0,146,0,0,14,19,145,0,70,2,79,0,5,79,9,1,13,1,3,0,1,0,2,0,0,9,0,5,2,1,2,0,2,0
426,540002790807_S58_L001,0,0,241,0,0,30,38,178,0,49,2,86,0,8,29,22,2,6,1,1,1,0,0,0,0,0,10,0,7,4,1,2,0,2,0
427,690000430101_S61_L001,200,182,47,176,19,1,0,51,0,4,0,24,0,1,27,21,0,2,1,2,0,0,0,0,0,0,6,0,0,3,1,0,0,0,2
428,260002950101_S7_L001,363,418,81,503,26,14,31,98,1,72,2,111,0,19,143,10,9,21,0,0,0,0,0,0,0,13,8,11,9,7,5,0,0,0,0
429,500001310807_S89_L001,0,0,8,0,0,0,0,63,0,15,1,46,0,2,24,12,0,5,1,0,0,0,0,0,0,0,4,0,0,3,0,1,0,1,0
430,050002040101_S123_L002,208,157,81,182,14,15,23,49,0,16,2,109,0,14,41,20,1,11,1,1,2,0,0,1,1,0,3,5,13,3,1,0,0,0,1
431,470002910807_S120_L002,0,0,96,0,0,4,12,39,0,61,4,245,0,22,96,43,3,5,1,0,0,0,0,0,0,0,5,0,18,9,2,1,0,9,0
432,440001020101_S79_L001,0,0,237,0,0,55,46,390,1,100,5,466,0,17,49,59,13,15,2,0,1,0,0,0,1,0,15,0,15,3,3,2,0,2,0
433,630003920807_S115_L002,0,0,24,0,0,2,2,88,0,35,2,106,0,1,9,23,3,3,0,0,0,0,0,1,0,0,7,0,1,0,0,0,1,0,0
434,640002170101_S51_L001,299,394,210,452,39,3,32,190,0,36,2,151,0,17,56,17,1,16,1,0,0,0,0,0,1,5,3,5,6,2,3,1,0,0,4
435,050000750101_S74_L001,496,563,248,692,60,18,40,237,0,63,4,374,0,11,147,51,11,4,1,7,3,0,0,0,0,5,21,4,10,3,1,2,2,0,3
436,330000340807_S83_L001,0,1,542,0,0,57,96,426,2,145,4,307,0,41,158,79,12,30,4,26,2,1,1,0,1,0,15,0,22,15,6,7,0,12,0
437,050000130101_S99_L002,168,130,99,280,28,1,3,96,2,22,1,78,0,19,72,6,0,2,3,0,0,0,1,0,0,3,2,1,5,4,3,3,1,0,0
438,540002780101_S157_L002,79,27,40,77,33,0,6,29,0,10,0,67,0,1,16,10,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1
439,780003320101_S88_L001,251,132,207,280,2,2,52,148,0,54,3,104,0,7,72,41,2,25,1,5,0,1,0,0,0,7,7,4,9,1,1,0,0,1,0
440,690002520101_S2_L001,339,162,82,218,3,29,9,46,0,45,2,104,0,4,11,10,0,10,1,0,1,1,0,0,0,1,4,4,9,3,2,0,1,1,0
441,260000320807_S144_L002,0,0,149,0,0,13,22,174,0,16,0,47,0,19,29,18,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,2,0
442,780005300101_S49_L001,243,517,95,320,0,27,12,118,0,40,1,116,0,5,83,32,12,2,2,6,0,1,0,0,0,5,1,0,6,2,1,0,0,1,0
443,630002250807_S86_L001,0,0,253,0,0,15,11,153,1,13,4,185,0,16,66,36,1,4,2,0,0,0,0,0,0,0,5,0,29,5,2,2,0,0,0
444,440001580101_S144_L002,140,290,145,336,30,16,10,150,0,30,0,40,0,20,92,25,2,1,1,0,2,0,0,0,0,1,17,8,11,0,0,6,2,2,0
445,050000600101_S102_L002,613,507,224,644,26,17,40,179,1,56,2,196,0,20,54,34,1,13,2,5,3,0,0,0,0,6,9,11,7,2,0,1,2,2,4
446,270001010808_S158_L002,0,0,70,0,0,1,15,34,0,37,0,55,0,22,79,39,1,4,0,0,0,0,1,0,0,0,9,0,2,1,0,0,0,2,0
447,050001810101_S118_L002,191,302,87,512,12,27,28,105,1,39,2,346,4,21,31,32,0,12,2,6,1,0,0,0,0,5,4,1,12,2,1,0,0,0,0
448,230003020807_S77_L001,0,0,110,0,0,0,2,94,1,14,2,184,0,15,43,26,1,6,0,2,2,0,0,0,0,0,9,0,12,2,3,0,0,5,0
449,330003360808_S142_L002,0,0,12,0,0,16,0,0,1,49,1,101,0,53,92,9,3,1,2,0,2,2,0,0,0,0,3,0,15,4,0,0,0,0,0
450,270000620101_S65_L001,613,544,209,780,62,31,32,173,0,65,2,268,0,31,219,46,15,22,8,0,2,0,0,0,1,14,14,3,12,8,3,1,1,2,1
451,330002800101_S174_L002,773,538,123,551,20,15,20,78,0,71,5,176,0,15,83,81,12,5,3,5,11,0,0,2,2,0,14,13,12,6,5,0,0,3,2
452,780004910101_S26_L001,569,377,245,635,64,39,33,254,0,34,2,213,4,39,96,67,10,24,4,0,0,1,0,0,0,12,4,6,8,6,4,1,1,0,3
453,280002460807_S123_L002,0,0,174,0,0,68,10,95,0,51,0,97,0,12,76,21,3,2,2,0,0,3,1,0,0,0,5,0,2,2,0,1,0,2,0
454,540000070101_S151_L002,600,412,243,833,124,17,29,257,3,63,2,206,1,15,225,80,5,1,7,7,3,0,0,0,1,6,16,5,7,7,4,1,2,0,5
455,050001460101_S82_L001,509,405,138,409,44,14,15,183,0,48,1,133,0,11,52,25,2,1,2,1,0,0,0,0,2,11,3,2,9,1,0,0,0,1,0
456,780005180101_S45_L001,385,361,122,366,22,20,13,152,0,39,2,74,0,2,102,41,4,29,2,4,2,0,0,1,0,1,8,2,2,5,0,0,1,1,0
457,770101010807_S107_L002,0,0,122,0,0,28,6,73,3,56,0,122,0,54,97,63,1,31,3,10,2,0,0,0,1,0,3,0,16,10,4,0,0,0,0
458,470001420807_S52_L001,0,0,36,0,0,16,1,19,0,21,2,156,1,1,13,8,0,0,2,0,0,0,0,0,0,0,8,0,12,7,1,1,0,2,0
459,780001250807_S145_L002,0,0,302,23,0,28,18,163,1,47,1,51,0,33,129,24,2,10,2,2,6,2,0,0,0,0,10,0,6,3,3,1,0,2,0
460,440000440101_S177_L002,271,191,201,580,38,17,15,92,0,22,1,134,0,36,74,41,1,5,2,5,1,0,0,0,2,0,4,11,8,3,2,0,0,0,2
461,630000020807_S151_L002,0,0,366,0,0,19,50,406,0,119,7,373,0,27,261,28,18,16,4,4,5,0,1,1,1,0,10,0,15,8,6,3,0,3,0
462,330001880101_S133_L002,245,130,81,129,5,1,12,55,1,8,1,242,1,2,34,9,1,2,3,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,2
463,210004080101_S67_L001,839,488,344,922,66,19,27,80,1,65,0,261,0,18,139,28,2,2,3,21,2,0,0,0,0,11,9,3,8,7,4,1,1,0,3
464,140003720101_S57_L001,232,293,122,490,20,53,27,105,1,36,2,155,0,19,126,26,1,14,2,3,6,2,0,0,1,10,5,7,13,6,3,0,0,2,6
465,500001320807_S82_L001,0,0,64,0,0,0,0,1,0,21,0,41,0,2,49,16,0,0,0,0,0,0,0,0,0,0,5,0,4,0,1,0,0,0,0
466,770101560807_S174_L002,0,0,296,0,0,29,30,283,1,87,0,109,0,32,42,35,7,25,6,8,3,0,0,0,0,0,4,0,20,7,9,0,0,1,0
467,770102700807_S20_L001,0,0,394,0,0,43,53,535,0,108,7,220,0,34,137,37,12,47,0,12,2,4,0,0,2,0,12,0,27,11,4,6,1,3,0
468,540002720807_S18_L001,0,0,171,0,0,19,70,207,0,23,0,135,0,18,87,25,0,9,0,14,0,1,0,2,1,0,10,0,7,2,1,0,0,3,0
469,550002260807_S88_L001,0,0,158,0,0,41,21,219,4,101,2,192,1,32,111,50,5,14,5,0,2,2,1,0,0,0,8,0,17,4,3,1,0,0,0
470,470003430807_S177_L002,0,0,36,0,0,3,15,126,0,33,0,142,0,13,46,28,1,6,0,1,0,0,0,0,0,0,6,0,7,4,2,0,2,3,0
471,330000460807_S75_L001,0,0,95,0,0,30,13,161,1,50,2,84,0,19,165,42,11,22,2,0,0,1,0,0,0,0,13,0,4,14,5,0,0,0,0
472,690000080807_S19_L001,0,0,400,0,0,5,38,389,0,73,1,148,0,38,86,55,2,66,3,14,0,1,0,0,1,0,2,0,9,10,3,5,0,6,0
473,780004080807_S53_L001,0,0,56,0,0,1,7,96,0,28,1,69,0,10,39,13,1,5,2,0,0,0,0,0,0,0,7,0,4,1,1,0,0,0,0
474,270000080807_S15_L001,0,0,92,0,0,14,32,88,0,14,1,121,0,2,30,25,1,1,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0
475,540000450808_S163_L002,298,215,194,277,40,33,28,237,1,28,0,145,0,1,125,29,0,15,2,7,6,0,0,0,0,1,4,5,8,7,2,2,3,7,1
476,340003410808_S34_L001,289,238,151,197,15,26,27,242,1,53,0,41,0,22,45,15,3,2,1,5,1,0,0,0,1,0,3,5,3,3,1,0,1,2,3
477,270001130808_S87_L001,303,179,69,265,0,15,7,114,0,15,1,111,0,15,28,29,1,11,2,0,0,0,0,0,1,5,2,2,2,9,1,0,0,0,0
478,630001070807_S181_L002,0,0,164,0,0,41,16,87,0,43,5,130,0,27,113,24,4,4,2,2,2,0,0,3,0,0,8,0,13,7,2,0,0,0,0
479,780001400808_S64_L001,0,0,259,0,0,44,4,223,1,94,1,63,0,20,164,29,18,3,2,8,0,2,0,3,0,0,1,0,18,3,3,1,0,1,0
480,780008480101_S17_L001,443,411,91,486,23,30,23,80,1,36,5,506,4,56,61,34,12,3,2,8,0,0,0,0,0,7,3,15,5,4,1,0,0,1,6
481,280001570807_S57_L001,0,0,376,0,0,32,48,242,1,70,0,92,0,53,150,21,1,16,4,21,1,0,0,1,3,0,12,0,18,10,3,2,2,9,0
482,640002780101_S53_L001,683,625,495,733,65,30,94,314,2,86,1,286,0,56,106,72,1,40,3,3,0,0,0,0,0,1,14,3,20,8,5,2,1,3,0
483,780000760101_S36_L001,184,295,135,434,38,2,23,202,1,49,1,417,1,41,61,18,2,14,0,0,4,0,0,0,0,2,7,1,1,6,2,2,1,2,0
484,050002460101_S189_L002,573,572,65,823,85,15,37,150,0,38,0,332,0,4,85,32,3,10,3,6,3,1,0,0,1,5,5,6,5,3,1,3,1,0,2
485,280002540807_S147_L002,0,0,163,0,0,2,40,176,1,52,3,68,0,7,135,13,0,0,1,0,0,2,0,0,0,0,4,0,14,1,0,1,0,3,0
486,500002190807_S8_L001,0,0,35,0,0,15,25,89,2,94,0,73,0,30,98,24,2,3,2,0,8,0,0,0,0,0,1,0,7,4,5,0,0,0,0
487,340003710808_S17_L001,156,264,235,392,12,37,28,295,2,138,3,108,0,35,76,29,3,35,3,10,2,0,0,0,0,1,3,9,15,6,2,0,1,4,1
488,770101790807_S4_L001,0,0,202,0,0,29,27,151,1,23,1,63,0,5,67,57,3,3,2,8,0,3,0,1,0,0,4,0,11,4,0,2,1,1,0
489,630002270807_S184_L002,0,0,3,0,0,1,7,29,0,45,0,146,4,3,21,11,2,0,2,0,0,2,0,0,0,0,4,0,7,0,1,1,0,0,0
490,440002110101_S180_L002,342,263,58,419,42,55,40,93,1,35,1,73,0,19,62,25,1,1,2,0,1,0,0,1,1,0,5,9,9,3,1,1,0,2,0
491,440000810101_S55_L001,0,0,154,0,0,16,31,194,0,81,0,147,0,24,123,42,12,5,2,0,0,0,0,0,0,0,6,0,19,4,1,1,0,1,0
492,540002820808_S93_L001,28,39,79,110,15,14,8,29,0,4,0,7,0,3,21,6,0,12,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
493,780005210101_S39_L001,168,160,203,360,12,42,8,57,2,34,1,166,0,14,68,14,2,0,2,0,2,0,0,0,1,0,7,5,3,2,3,0,0,0,1
494,470001440807_S171_L002,0,0,73,0,0,14,13,81,0,28,0,106,0,16,45,25,0,3,0,0,0,0,0,0,0,0,6,0,6,2,0,0,0,2,0
495,690000770101_S1_L001,892,875,503,1493,70,9,65,687,1,116,11,397,4,53,143,91,7,26,4,10,7,1,1,0,2,7,6,11,11,13,4,1,0,4,3
496,520001830101_S107_L002,265,200,96,436,7,2,14,138,1,55,1,121,0,25,74,38,4,13,4,9,0,0,0,1,1,0,2,0,10,2,3,1,0,1,0
497,330001570101_S128_L002,266,175,225,506,25,41,14,139,0,38,1,447,10,24,31,29,2,4,3,4,0,0,0,1,0,6,8,5,11,5,2,1,0,0,3
498,340003780808_S26_L001,317,346,336,586,47,58,64,397,1,90,0,119,0,9,52,66,2,8,1,10,6,0,0,0,0,0,1,8,18,8,4,1,1,4,2
499,770101060807_S25_L001,7,0,640,0,0,73,43,171,1,72,1,244,4,59,179,65,0,21,4,14,3,1,2,1,0,0,9,0,24,5,4,1,0,8,0
500,440001980101_S87_L001,0,0,205,0,1,30,26,234,1,39,1,384,0,42,64,73,1,11,2,2,3,1,0,0,0,0,10,0,15,4,2,0,1,0,0
501,500000230101_S98_L002,655,400,209,824,70,31,31,266,2,59,1,134,4,11,47,23,1,5,2,12,0,0,0,1,0,14,8,7,15,5,4,0,0,4,1
502,550002940807_S1_L001,0,0,179,0,0,18,29,184,0,40,0,74,0,14,56,16,0,10,0,3,1,0,0,0,0,0,8,0,2,2,1,0,0,1,0
503,780008300807_S73_L001,0,0,130,0,0,3,18,81,0,53,0,99,0,33,48,18,0,3,0,8,1,2,0,0,0,0,9,0,18,6,3,1,0,0,0
504,500004230101_S177_L002,1085,603,142,789,71,31,26,246,1,89,3,179,0,26,69,44,12,4,3,4,4,0,0,0,0,2,18,9,7,6,0,1,1,4,0
505,470004390807_S2_L001,0,0,67,0,0,1,4,149,0,5,1,73,0,43,26,22,4,0,1,4,0,0,0,0,0,0,1,0,9,0,1,1,1,1,0
506,590001290101_S100_L002,461,233,246,608,28,55,22,290,0,33,1,370,0,12,175,74,21,23,3,11,0,0,0,1,0,5,17,15,11,6,2,4,0,1,4
507,540002740807_S26_L001,0,0,411,0,0,84,40,369,0,68,0,84,0,9,113,38,5,18,4,6,2,0,0,0,0,0,9,0,6,7,3,1,1,2,0
508,460002780101_S137_L002,986,492,481,1075,76,17,36,390,2,107,3,317,0,21,139,71,2,4,5,8,3,0,0,0,0,9,13,18,13,2,2,3,0,3,4
509,690000370808_S24_L001,0,0,39,0,0,0,21,151,1,18,0,59,0,17,56,17,3,2,1,5,1,0,0,1,0,0,2,0,4,1,3,0,0,0,0
510,590002640101_S124_L002,417,651,182,697,36,14,41,221,0,40,6,350,8,26,107,33,1,7,1,2,2,0,0,0,1,0,4,13,17,2,2,2,1,2,1
511,780001680807_S170_L002,0,0,285,0,0,56,60,124,0,86,3,92,0,9,73,42,1,16,0,17,4,0,1,0,1,0,12,0,10,4,1,1,0,2,0
512,330001180807_S138_L002,2,0,533,3,0,76,62,579,0,153,4,325,0,32,82,91,5,20,8,9,13,2,2,0,0,0,10,0,17,14,5,4,1,7,0
513,330001960808_S82_L001,282,233,107,381,69,41,8,88,2,61,2,55,0,35,21,37,3,5,2,0,1,0,1,0,1,0,9,1,2,1,2,0,2,0,0
514,770102730807_S36_L001,0,0,849,0,0,107,143,778,0,200,4,409,0,55,177,99,14,45,8,14,3,2,0,0,1,0,12,0,30,7,6,1,0,8,0
515,670004690101_S119_L002,342,337,194,394,40,0,26,140,0,32,1,190,0,14,82,53,2,11,3,11,3,0,0,2,0,7,9,5,14,3,2,0,1,0,0
516,780004740808_S76_L001,427,259,320,553,12,59,90,421,0,47,5,206,0,24,92,38,11,22,4,14,2,1,1,2,0,0,4,4,16,8,2,2,1,2,0
517,280002900807_S139_L002,0,0,174,0,0,84,23,299,0,73,2,67,0,24,112,26,2,29,0,3,4,3,0,0,0,0,5,0,9,3,3,1,0,4,0
518,470001450807_S76_L001,0,0,27,0,0,1,0,46,1,9,2,135,0,4,27,1,3,3,2,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0
519,590004410101_S163_L002,394,561,212,1149,86,18,27,228,2,53,1,199,4,32,107,61,13,6,0,3,2,0,0,0,1,5,9,14,9,4,3,2,0,2,9
520,540002120807_S95_L002,0,0,82,0,0,3,21,94,0,64,0,26,0,3,24,15,0,28,1,0,3,1,0,0,0,0,3,0,9,1,1,0,0,2,0
521,050002290808_S117_L002,0,0,111,0,0,53,17,101,1,16,2,61,0,7,74,43,3,2,0,0,0,0,0,1,0,0,7,0,12,1,2,0,0,1,0
522,340003430808_S35_L001,392,268,154,581,20,4,59,277,1,84,1,179,0,43,94,31,3,45,2,7,0,0,1,0,0,0,13,9,21,7,5,2,1,1,2
523,630002350807_S93_L001,0,0,116,0,0,40,31,97,1,37,1,115,0,13,72,22,1,3,1,0,0,0,0,0,0,0,3,0,13,1,1,0,0,2,0
524,540003060808_S94_L001,176,60,68,106,1,14,14,28,3,44,1,31,0,35,58,15,0,3,1,0,0,2,0,0,0,5,0,5,1,1,0,0,0,0,0
525,670005070101_S102_L002,281,404,183,534,5,42,21,217,1,66,1,150,0,19,62,41,18,10,1,4,0,0,0,0,0,10,10,8,24,7,5,1,0,1,5
526,470002200808_S71_L001,1796,1061,264,2273,79,59,47,289,1,31,3,889,5,27,110,56,5,6,7,2,2,0,1,0,0,16,18,27,9,4,2,1,2,3,10
527,630001100807_S136_L002,0,0,308,0,0,29,25,220,1,87,5,175,0,47,90,44,12,16,3,4,1,2,0,2,0,0,9,0,35,12,4,0,1,2,0
528,210000150101_S184_L002,377,260,183,410,0,15,15,37,0,26,0,215,0,2,101,18,3,1,1,0,2,0,1,0,0,1,7,7,11,4,4,1,1,0,0
529,670005530101_S127_L002,304,268,69,787,74,14,12,204,0,28,1,69,0,6,32,32,2,3,1,6,0,0,0,0,0,2,18,3,21,3,0,2,1,3,1
530,770101940807_S90_L001,0,0,250,0,0,20,54,309,0,61,0,98,4,21,61,39,0,6,0,10,2,0,0,1,0,0,13,0,12,12,4,0,1,0,0
531,340003790808_S27_L001,119,160,245,201,5,42,30,150,0,22,0,17,0,1,84,14,1,2,2,10,0,0,0,0,1,0,8,5,10,2,0,0,0,2,0
532,330000130808_S23_L001,0,0,183,0,0,30,55,176,0,55,0,136,0,15,150,27,1,23,1,2,0,0,0,0,0,0,6,0,14,4,3,1,0,3,0
533,730000520101_S143_L002,363,413,187,507,42,1,45,126,1,15,0,187,0,16,50,23,1,4,0,0,0,0,0,1,1,1,1,1,8,0,0,0,1,0,6
534,340003720808_S20_L001,218,309,355,292,93,45,49,435,1,56,2,91,0,9,97,32,1,17,1,14,0,0,0,1,1,1,13,2,21,8,3,1,0,2,1
535,520002210101_S178_L002,376,164,92,419,27,3,27,139,1,20,0,235,0,14,61,34,2,2,0,2,5,0,0,0,0,0,6,5,11,0,1,2,3,1,0
536,330000500808_S25_L001,0,0,85,0,0,48,26,116,2,87,3,54,12,23,83,26,9,17,1,1,0,0,0,2,1,0,7,0,11,4,4,0,0,1,0
537,730003410101_S152_L002,607,538,299,707,36,2,21,209,1,63,1,227,1,10,73,43,2,20,0,4,2,0,0,0,0,0,5,2,9,4,0,0,0,2,1
538,250002500808_S111_L002,0,0,423,0,0,44,36,191,0,120,4,119,4,52,74,46,3,17,2,11,1,3,0,0,0,0,11,0,4,8,2,3,5,6,0
539,780003340807_S45_L001,0,0,60,0,0,27,34,74,0,26,0,83,0,5,25,19,2,12,2,6,0,0,0,0,0,0,1,0,10,2,0,0,1,0,0
540,500004290101_S161_L002,440,300,313,524,12,14,23,183,0,50,4,194,0,16,87,45,3,12,1,0,2,1,0,0,0,5,6,1,14,4,5,3,0,0,3
541,590001680101_S148_L002,375,397,145,348,32,15,27,241,0,17,1,198,0,9,16,19,1,13,3,2,3,0,0,1,2,22,9,4,15,2,2,3,0,4,0
542,500001200807_S74_L001,0,0,9,0,0,14,6,112,0,30,1,50,0,3,88,20,0,2,0,1,3,0,0,0,0,0,4,0,1,5,1,0,0,4,0
543,540002750807_S34_L001,0,0,76,0,0,54,2,58,1,43,1,57,0,20,79,28,0,22,1,2,0,0,0,0,0,0,6,0,11,1,0,1,0,3,0
544,770101150807_S159_L002,0,36,534,0,0,45,60,376,2,112,4,244,0,39,75,32,4,9,2,5,3,1,2,0,2,0,15,0,33,9,3,1,1,4,0
545,550003210807_S54_L001,0,0,378,0,0,1,38,252,0,57,3,121,0,42,164,31,0,36,1,11,0,0,0,0,1,0,10,0,3,5,2,2,1,2,0
546,500003380101_S114_L002,275,328,276,427,47,31,42,128,3,53,0,207,0,9,65,36,2,4,1,5,2,0,0,0,0,15,5,10,12,9,3,1,0,0,1
547,460002860101_S145_L002,245,391,201,389,2,1,25,148,3,57,0,310,0,25,31,6,1,2,2,2,8,0,0,0,2,0,2,6,4,3,1,0,0,0,1
548,770102750807_S28_L001,0,0,233,0,1,111,35,209,1,136,4,156,0,20,44,56,12,24,6,3,8,0,0,2,0,0,10,0,13,7,4,0,0,1,0
549,330002000808_S79_L001,436,233,180,320,51,14,46,160,1,89,0,55,0,78,57,19,4,16,0,0,2,0,0,2,0,0,8,1,22,6,0,1,0,2,1
550,050000310808_S83_L001,332,486,420,823,32,74,42,376,0,120,2,141,0,29,98,97,3,29,7,9,1,0,1,1,1,1,8,6,20,4,5,0,0,3,2
551,670004740101_S190_L002,556,540,250,877,96,21,34,115,0,95,5,309,0,40,160,39,3,5,2,0,2,0,0,0,1,6,14,1,11,12,11,0,0,0,1
552,440002510808_S32_L001,0,0,491,0,0,29,67,483,1,89,1,287,0,71,136,87,2,15,4,8,2,0,0,0,1,0,15,0,31,13,8,2,1,0,0
553,590002140808_S75_L001,0,0,32,0,0,16,0,0,1,46,0,291,0,32,165,39,12,19,4,0,0,0,1,0,3,0,6,0,15,7,4,0,0,1,0
554,780004750808_S75_L001,317,133,274,362,39,69,36,254,0,69,3,201,0,20,65,30,24,19,3,8,5,0,1,2,1,12,7,1,12,2,6,2,0,0,1
555,500003890808_S35_L001,0,0,98,0,0,58,27,159,0,69,0,48,0,13,27,16,1,15,3,7,0,0,0,0,0,0,4,0,7,1,2,0,0,2,0
556,590004420101_S179_L002,848,472,296,922,39,40,25,204,2,69,1,180,0,38,182,53,6,8,6,4,8,0,0,0,1,0,10,11,16,9,2,2,0,4,2
557,590002660101_S156_L002,623,909,150,654,59,26,10,77,2,40,2,547,5,26,71,44,1,6,0,8,0,0,0,0,0,0,5,5,8,4,2,1,1,0,0
558,460000180808_S5_L001,0,0,374,0,0,87,39,474,0,104,2,281,0,44,88,39,47,24,3,14,0,0,0,0,2,0,10,0,10,6,3,4,1,2,0
559,050002630808_S113_L002,0,0,252,0,0,56,37,237,2,80,2,88,0,20,87,13,10,16,1,2,0,3,0,0,1,0,6,0,7,5,1,2,0,3,0
560,630001580807_S128_L002,0,0,95,0,0,0,7,127,0,37,2,67,0,21,21,12,2,3,0,5,0,0,0,1,1,0,2,0,8,2,2,1,0,4,0
561,340003730808_S21_L001,44,67,29,65,0,13,6,24,0,9,0,34,0,12,23,18,3,9,2,2,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0
562,770101970807_S12_L001,0,0,200,0,0,46,68,324,0,59,1,88,0,23,109,46,1,27,0,13,1,4,0,0,0,0,5,0,9,5,1,1,3,2,0
563,690000940807_S43_L001,0,0,204,27,0,28,20,184,0,111,0,214,0,11,193,37,3,10,4,0,0,0,0,0,0,0,6,0,7,5,3,1,0,2,0
564,330000380808_S21_L001,0,0,91,0,0,2,2,186,1,46,1,86,0,15,105,13,0,4,3,7,1,0,0,0,0,0,6,0,18,8,2,2,0,0,0
565,630002730807_S78_L001,0,0,33,0,0,15,13,220,1,14,1,198,9,15,55,43,2,2,0,0,3,0,0,0,1,0,3,0,7,3,3,0,0,0,0
566,780004000807_S5_L001,0,7,287,0,0,33,23,153,0,83,0,131,0,10,34,30,1,25,1,5,8,2,0,0,1,0,4,0,11,9,2,0,1,8,0
567,500004310101_S146_L002,438,368,161,482,64,42,38,169,0,105,1,196,0,16,33,44,3,8,3,5,3,0,0,0,0,1,11,6,18,0,0,1,0,3,5
568,550003350807_S38_L001,0,0,80,0,0,30,10,123,0,45,0,144,0,8,48,24,1,29,3,4,2,2,0,0,0,0,4,0,1,3,1,0,0,2,0
569,250002250101_S125_L002,324,234,141,425,51,17,15,62,0,61,0,245,0,3,70,31,1,4,3,0,0,0,0,0,1,2,1,1,1,6,5,1,3,1,1
570,470002720808_S73_L001,494,303,172,594,76,29,20,138,0,32,1,183,0,8,18,35,12,1,1,3,2,0,0,0,0,1,3,16,5,1,2,0,1,3,0
571,670005090101_S142_L002,302,452,207,637,36,13,56,240,0,35,4,227,0,32,158,37,4,25,2,10,2,0,0,0,1,3,16,6,12,6,1,0,0,3,4
572,460002050808_S12_L001,0,0,375,0,1,19,62,300,1,90,7,290,0,29,148,95,6,17,7,11,5,1,1,0,1,0,12,0,10,12,4,0,0,4,0
573,520003590101_S115_L002,234,319,244,481,13,13,49,262,2,36,2,268,0,14,56,32,0,0,2,7,2,0,0,0,1,0,11,2,5,4,1,0,1,3,3
574,550000620101_S139_L002,654,532,278,969,33,54,32,252,1,93,5,144,0,18,127,58,22,21,0,3,0,0,0,0,0,7,13,21,9,4,4,3,0,1,2
575,250002590808_S99_L002,0,0,3,0,1,30,6,8,1,62,2,172,0,13,70,22,0,1,3,0,2,0,0,0,0,0,4,0,7,6,3,0,0,0,0
