,sum_clones
020000010808_S3_L001.clonotypes.TRB.txt,15517
020003890808_S67_L001.clonotypes.TRB.txt,43462
050002090808_S74_L001.clonotypes.TRB.txt,23200
270000870808_S37_L001.clonotypes.TRB.txt,30175
020000360808_S102_L002.clonotypes.TRB.txt,67373
050000200808_S157_L002.clonotypes.TRB.txt,30717
330001070808_S180_L002.clonotypes.TRB.txt,22422
500000530808_S147_L002.clonotypes.TRB.txt,33172
020000700808_S134_L002.clonotypes.TRB.txt,62267
050002020808_S115_L002.clonotypes.TRB.txt,24441
440000790808_S68_L001.clonotypes.TRB.txt,23939
540003270808_S65_L001.clonotypes.TRB.txt,24142
330000950808_S132_L002.clonotypes.TRB.txt,45623
270000050808_S111_L002.clonotypes.TRB.txt,62004
330000410808_S109_L002.clonotypes.TRB.txt,39528
340002510808_S180_L002.clonotypes.TRB.txt,26232
690002080808_S58_L001.clonotypes.TRB.txt,52049
540002570808_S121_L002.clonotypes.TRB.txt,34872
690001140808_S97_L002.clonotypes.TRB.txt,17752
330001280808_S92_L001.clonotypes.TRB.txt,39064
500001270808_S163_L002.clonotypes.TRB.txt,36441
330002060808_S122_L002.clonotypes.TRB.txt,22442
050001330808_S153_L002.clonotypes.TRB.txt,18983
690000090808_S154_L002.clonotypes.TRB.txt,30322
440000040808_S191_L002.clonotypes.TRB.txt,61600
540002830808_S9_L001.clonotypes.TRB.txt,42022
050000810808_S66_L001.clonotypes.TRB.txt,31015
270000140808_S174_L002.clonotypes.TRB.txt,85778
540002650808_S169_L002.clonotypes.TRB.txt,61200
020000190808_S27_L001.clonotypes.TRB.txt,52276
050002130808_S46_L001.clonotypes.TRB.txt,6954
360001440808_S141_L002.clonotypes.TRB.txt,13583
360001380808_S173_L002.clonotypes.TRB.txt,20605
240101640808_S135_L002.clonotypes.TRB.txt,45993
460001200808_S176_L002.clonotypes.TRB.txt,38261
500001010808_S178_L002.clonotypes.TRB.txt,84450
300000710808_S124_L002.clonotypes.TRB.txt,66024
370000570808_S110_L002.clonotypes.TRB.txt,30340
460001010808_S167_L002.clonotypes.TRB.txt,33090
410004360808_S119_L002.clonotypes.TRB.txt,34033
050000230808_S160_L002.clonotypes.TRB.txt,29928
020003900808_S43_L001.clonotypes.TRB.txt,51167
050002030808_S38_L001.clonotypes.TRB.txt,5205
500000570808_S42_L001.clonotypes.TRB.txt,38148
340002530808_S172_L002.clonotypes.TRB.txt,42981
330001080808_S148_L002.clonotypes.TRB.txt,53542
270001070808_S158_L002.clonotypes.TRB.txt,66533
540002870808_S17_L001.clonotypes.TRB.txt,22005
020000390808_S189_L002.clonotypes.TRB.txt,42577
020003020808_S91_L001.clonotypes.TRB.txt,51411
050001720808_S75_L001.clonotypes.TRB.txt,42502
540003340808_S73_L001.clonotypes.TRB.txt,38073
330000960808_S141_L002.clonotypes.TRB.txt,40457
400000290808_S134_L002.clonotypes.TRB.txt,66659
330001710808_S177_L002.clonotypes.TRB.txt,23130
330000580808_S125_L002.clonotypes.TRB.txt,33672
500001140808_S71_L001.clonotypes.TRB.txt,29554
330002090808_S89_L001.clonotypes.TRB.txt,41532
050000970808_S55_L001.clonotypes.TRB.txt,31845
690001370808_S32_L001.clonotypes.TRB.txt,48161
020000110808_S14_L001.clonotypes.TRB.txt,48480
270000060808_S119_L002.clonotypes.TRB.txt,54691
440000310808_S151_L002.clonotypes.TRB.txt,147087
540002660808_S177_L002.clonotypes.TRB.txt,21688
440000860808_S47_L001.clonotypes.TRB.txt,79695
360001390808_S117_L002.clonotypes.TRB.txt,18185
690000120808_S50_L001.clonotypes.TRB.txt,42013
460001480808_S151_L002.clonotypes.TRB.txt,63151
460001030808_S152_L002.clonotypes.TRB.txt,15630
500001360808_S131_L002.clonotypes.TRB.txt,51709
540002580808_S129_L002.clonotypes.TRB.txt,67223
370000580808_S118_L002.clonotypes.TRB.txt,26395
330001110808_S156_L002.clonotypes.TRB.txt,25458
360001560808_S165_L002.clonotypes.TRB.txt,57358
270000010808_S182_L002.clonotypes.TRB.txt,56265
020000200808_S181_L002.clonotypes.TRB.txt,53386
440000960808_S80_L001.clonotypes.TRB.txt,25125
270000190808_S52_L001.clonotypes.TRB.txt,51798
540002980808_S25_L001.clonotypes.TRB.txt,5520
340002540808_S188_L002.clonotypes.TRB.txt,32151
050000240808_S85_L001.clonotypes.TRB.txt,39381
330000980808_S188_L002.clonotypes.TRB.txt,29556
300000920808_S132_L002.clonotypes.TRB.txt,57015
050002070808_S58_L001.clonotypes.TRB.txt,37434
270001050808_S23_L001.clonotypes.TRB.txt,66311
050000990808_S40_L001.clonotypes.TRB.txt,23431
440000110808_S120_L002.clonotypes.TRB.txt,87912
020004000808_S83_L001.clonotypes.TRB.txt,46215
690001620808_S40_L001.clonotypes.TRB.txt,30964
500000580808_S93_L001.clonotypes.TRB.txt,47448
330001730808_S178_L002.clonotypes.TRB.txt,41466
270001180808_S76_L001.clonotypes.TRB.txt,49066
050001870808_S147_L002.clonotypes.TRB.txt,32386
020000420808_S51_L001.clonotypes.TRB.txt,61898
540003460808_S81_L001.clonotypes.TRB.txt,40230
330000670808_S24_L001.clonotypes.TRB.txt,41572
020003060808_S142_L002.clonotypes.TRB.txt,46965
330002360808_S154_L002.clonotypes.TRB.txt,22238
500001220808_S123_L002.clonotypes.TRB.txt,80833
020000710808_S15_L001.clonotypes.TRB.txt,30823
540002670808_S185_L002.clonotypes.TRB.txt,24814
330001030808_S86_L001.clonotypes.TRB.txt,37237
360001400808_S125_L002.clonotypes.TRB.txt,29069
460001930808_S184_L002.clonotypes.TRB.txt,67181
400000310808_S142_L002.clonotypes.TRB.txt,63657
540002590808_S137_L002.clonotypes.TRB.txt,23356
440001090808_S88_L001.clonotypes.TRB.txt,11892
330001250808_S56_L001.clonotypes.TRB.txt,25841
690001050808_S122_L002.clonotypes.TRB.txt,35922
500001380808_S187_L002.clonotypes.TRB.txt,29238
020000280808_S59_L001.clonotypes.TRB.txt,20914
400000130808_S158_L002.clonotypes.TRB.txt,34434
540003020808_S33_L001.clonotypes.TRB.txt,20202
460001050808_S175_L002.clonotypes.TRB.txt,40048
360001680808_S149_L002.clonotypes.TRB.txt,33794
440000490808_S23_L001.clonotypes.TRB.txt,65173
270000200808_S44_L001.clonotypes.TRB.txt,32873
340002950808_S156_L002.clonotypes.TRB.txt,33610
330001780808_S170_L002.clonotypes.TRB.txt,8306
020000640808_S117_L002.clonotypes.TRB.txt,4575
020004070808_S4_L001.clonotypes.TRB.txt,17407
270000020808_S12_L001.clonotypes.TRB.txt,58298
