run,number_of_clones
050001330808_S153_L002.clonotypes.TRB.txt,5256
020000010808_S3_L001.clonotypes.TRB.txt,4135
360001440808_S141_L002.clonotypes.TRB.txt,3733
440000790808_S68_L001.clonotypes.TRB.txt,6168
330001070808_S180_L002.clonotypes.TRB.txt,5986
050002020808_S115_L002.clonotypes.TRB.txt,6095
690001140808_S97_L002.clonotypes.TRB.txt,5342
370000570808_S110_L002.clonotypes.TRB.txt,9232
360001380808_S173_L002.clonotypes.TRB.txt,5681
540003270808_S65_L001.clonotypes.TRB.txt,6209
500000530808_S147_L002.clonotypes.TRB.txt,9912
050002090808_S74_L001.clonotypes.TRB.txt,6355
050000810808_S66_L001.clonotypes.TRB.txt,7191
330002060808_S122_L002.clonotypes.TRB.txt,6239
340002510808_S180_L002.clonotypes.TRB.txt,7209
050000200808_S157_L002.clonotypes.TRB.txt,8438
690000090808_S154_L002.clonotypes.TRB.txt,7765
050002030808_S38_L001.clonotypes.TRB.txt,1529
020003890808_S67_L001.clonotypes.TRB.txt,11723
270000870808_S37_L001.clonotypes.TRB.txt,8577
460001200808_S176_L002.clonotypes.TRB.txt,10718
460001010808_S167_L002.clonotypes.TRB.txt,8492
050002130808_S46_L001.clonotypes.TRB.txt,2221
410004360808_S119_L002.clonotypes.TRB.txt,9772
540002570808_S121_L002.clonotypes.TRB.txt,9557
330001280808_S92_L001.clonotypes.TRB.txt,11278
500001270808_S163_L002.clonotypes.TRB.txt,10970
330000410808_S109_L002.clonotypes.TRB.txt,10752
360001390808_S117_L002.clonotypes.TRB.txt,4788
050001720808_S75_L001.clonotypes.TRB.txt,10519
540002830808_S9_L001.clonotypes.TRB.txt,12056
540002650808_S169_L002.clonotypes.TRB.txt,15419
330000950808_S132_L002.clonotypes.TRB.txt,11704
050000230808_S160_L002.clonotypes.TRB.txt,6437
020000360808_S102_L002.clonotypes.TRB.txt,17930
240101640808_S135_L002.clonotypes.TRB.txt,14137
020000700808_S134_L002.clonotypes.TRB.txt,15516
370000580808_S118_L002.clonotypes.TRB.txt,7674
