run,number_of_clones,number_of_reads
550041430_TCRB.tsv.txt,28869,78521
BS-GIGI_56-replacement_TCRB.tsv.txt,38743,90335
INCOV064-BL-3_TCRB.tsv.txt,50706,56214
BS-GIGI_52-replacement_TCRB.tsv.txt,51142,73563
BS-HS-64_TCRB.tsv.txt,25732,48442
1015-LR-446_TCRB.tsv.txt,53110,85127
BS-HS-38_TCRB.tsv.txt,54709,77750
BS-EQ-0016-T1-replacement_TCRB.tsv.txt,63217,90946
550040140_TCRB.tsv.txt,64211,143465
860011213_TCRB.tsv.txt,72126,267402
550041293_TCRB.tsv.txt,71332,268171
BS-EQ-17-T1b-replacement_TCRB.tsv.txt,88858,146866
BS-GIGI_64-replacement_TCRB.tsv.txt,48450,59080
INCOV053-AC-3_TCRB.tsv.txt,104932,228742
BS-GIGI_49-replacement_TCRB.tsv.txt,42601,55465
INCOV072-BL-3_TCRB.tsv.txt,52738,142874
BS-EQ-16-T2-replacement_TCRB.tsv.txt,116072,164248
550041499_TCRB.tsv.txt,120449,561596
BS-GIGI_16-replacement_TCRB.tsv.txt,83413,138429
KHBR20-00186_TCRB.tsv.txt,145015,235057
BS-GIGI_89-replacement_TCRB.tsv.txt,143818,285037
BS-GIGI_76-replacement_TCRB.tsv.txt,133824,195715
KH20-09741_TCRB.tsv.txt,152596,226817
INCOV020-AC-5_TCRB.tsv.txt,45997,99297
860011327_TCRB.tsv.txt,86459,1807520
KH20-11659_TCRB.tsv.txt,167978,603253
BS-HS-183_TCRB.tsv.txt,172435,371566
KHBR20-00135_TCRB.tsv.txt,181451,238264
860011445_TCRB.tsv.txt,203877,350247
BS-GIGI_27-replacement_TCRB.tsv.txt,137807,184685
KHBR20-00149_TCRB.tsv.txt,74615,106136
KH20-09946_TCRB.tsv.txt,215679,377340
KH20-09753_TCRB.tsv.txt,228106,321024
BS-HS-116_TCRB.tsv.txt,17380,36261
1019_TCRB.tsv.txt,246316,435631
BS-GIGI_63-replacement_TCRB.tsv.txt,237763,343105
KH20-09695_TCRB.tsv.txt,136577,295431
