run,number_of_clones,number_of_reads
KH20-09692_TCRB.tsv.txt,201023,260066
KH20-09986_TCRB.tsv.txt,258379,398765
INCOV018-CV-3_TCRB.tsv.txt,22634,75224
550042933_TCRB.tsv.txt,139001,570265
860011341_TCRB.tsv.txt,70388,251363
BS-GN-0004-T0-replacement_TCRB.tsv.txt,54753,87014
BS-HS-0149_TCRB.tsv.txt,142467,236224
BS-EQ-0024-T1-replacement_TCRB.tsv.txt,47586,78393
BS-EQ-30-T1-replacement_TCRB.tsv.txt,256226,354373
BS-HS-0196_TCRB.tsv.txt,99256,123687
860011285_TCRB.tsv.txt,332811,489719
KH20-11688_TCRB.tsv.txt,128094,202399
1001_TCRB.tsv.txt,68127,120947
860011242_TCRB.tsv.txt,278829,438821
KH20-11680_TCRB.tsv.txt,257814,336027
550043928_TCRB.tsv.txt,277163,572608
860011230_TCRB.tsv.txt,183414,318032
KHBR20-00142_TCRB.tsv.txt,11474,31698
860011239_TCRB.tsv.txt,72715,117101
INCOV085-BL-3_TCRB.tsv.txt,406212,638734
ADIRP0000137_TCRB.tsv.txt,33385,42761
550043912_TCRB.tsv.txt,120546,229837
KHBR20-00143_TCRB.tsv.txt,138615,166663
1033_TCRB.tsv.txt,345796,1068954
BS-EQ-11-T3-replacement_TCRB.tsv.txt,57326,118350
BS-HS-60_TCRB.tsv.txt,46869,53884
KH20-11807_TCRB.tsv.txt,163687,276598
BS-HS-166_TCRB.tsv.txt,36216,71299
860011120_TCRB.tsv.txt,56670,65627
INCOV059-BL-3_TCRB.tsv.txt,409175,853913
2987BW_TCRB.tsv.txt,367209,696513
860011218_TCRB.tsv.txt,154839,206038
KHBR20-00116_TCRB.tsv.txt,268149,848689
BS-EQ-0024-T0-replacement_TCRB.tsv.txt,35415,42811
BS-EQ-12-T1-replacement_TCRB.tsv.txt,15401,38803
BS-HS-118_TCRB.tsv.txt,155016,298001
INCOV018-BL-5_TCRB.tsv.txt,21489,50012
INCOV058-AC-3_TCRB.tsv.txt,115005,938653
KHBR20-00079_TCRB.tsv.txt,271160,319310
BS-HS-96_TCRB.tsv.txt,34922,45768
860011204_TCRB.tsv.txt,62615,145139
KH20-11691_TCRB.tsv.txt,551218,773413
ADIRP0001063_TCRB.tsv.txt,384360,1118175
KH20-11642_TCRB.tsv.txt,130413,233525
860011356_TCRB.tsv.txt,357289,1007150
860011276_TCRB.tsv.txt,251112,621860
INCOV076-AC-3_TCRB.tsv.txt,277297,644858
INCOV071-BL-3_TCRB.tsv.txt,93017,229736
KHBR20-00081_TCRB.tsv.txt,102432,126379
KH20-09684_TCRB.tsv.txt,113082,199096
BS-HS-127_TCRB.tsv.txt,82553,174779
860011252_TCRB.tsv.txt,493582,775382
ADIRP0000423_TCRB.tsv.txt,511593,653614
ADIRP0001920_TCRB.tsv.txt,513509,718156
INCOV086-BL-3_TCRB.tsv.txt,8293,36110
INCOV050-BL-3_TCRB.tsv.txt,386983,664265
INCOV082-BL-3_TCRB.tsv.txt,671056,1157563
KH20-09693_TCRB.tsv.txt,528624,932144
KHBR20-00129_TCRB.tsv.txt,347864,429500
860011289_TCRB.tsv.txt,278551,649492
KHBR20-00105_TCRB.tsv.txt,91440,123877
KH20-09736_TCRB.tsv.txt,188324,246774
ADIRP0002514_TCRB.tsv.txt,533505,745772
INCOV022-CV-3_TCRB.tsv.txt,427753,948131
KH20-11811_TCRB.tsv.txt,109292,178811
860011395_TCRB.tsv.txt,66410,717075
ADIRP0000357_TCRB.tsv.txt,782502,1028134
860011125_TCRB.tsv.txt,155051,1290607
KH20-09746_TCRB.tsv.txt,177088,350346
860011463_TCRB.tsv.txt,168587,910486
KH20-11646_TCRB.tsv.txt,222339,321794
INCOV072-AC-3_TCRB.tsv.txt,104525,233815
5115BW_TCRB.tsv.txt,261794,1612533
ADIRP0002581_TCRB.tsv.txt,359440,550738
ADIRP0001958_TCRB.tsv.txt,247358,374185
KH20-09742_TCRB.tsv.txt,281096,417585
BS-HS-160_TCRB.tsv.txt,38631,53557
550041374_TCRB.tsv.txt,9488,11719
KH20-11300_TCRB.tsv.txt,208962,321161
1029_TCRB.tsv.txt,115657,294197
860011487_TCRB.tsv.txt,132999,182387
INCOV031-BL-3_TCRB.tsv.txt,81281,111783
BS-GIGI_80-replacement_TCRB.tsv.txt,64110,110954
860011315_TCRB.tsv.txt,207294,390605
KHBR20-00160_TCRB.tsv.txt,81576,167186
KH20-09739_TCRB.tsv.txt,369097,736468
1566779BW_TCRB.tsv.txt,523300,1371333
INCOV023-AC-3_TCRB.tsv.txt,652365,994888
KH20-11808_TCRB.tsv.txt,51784,260644
860011233_TCRB.tsv.txt,185808,705409
ADIRP0000057_TCRB.tsv.txt,760804,1051146
BS-GN-0012-T0-replacement_TCRB.tsv.txt,42191,78060
KH20-09667_TCRB.tsv.txt,45700,74768
860011321_TCRB.tsv.txt,43099,192899
1039_TCRB.tsv.txt,256446,462666
INCOV038-BL-3_TCRB.tsv.txt,474938,618211
BS-GIGI_30-replacement_TCRB.tsv.txt,106502,151857
860011309_TCRB.tsv.txt,143461,387803
ADIRP0001929_TCRB.tsv.txt,419129,909505
BS-HS-215_TCRB.tsv.txt,35375,47484
KHBR20-00158_TCRB.tsv.txt,155262,362693
1566746BW_TCRB.tsv.txt,396988,682709
1056_TCRB.tsv.txt,70658,157068
BS-HS-191_TCRB.tsv.txt,245030,443829
ADIRP0002887_TCRB.tsv.txt,355969,569250
KH20-11670_TCRB.tsv.txt,183533,752975
KHBR20-00171_TCRB.tsv.txt,65513,81027
KH20-09977_TCRB.tsv.txt,243908,463839
964229BW_TCRB.tsv.txt,317268,721465
KH20-09678_TCRB.tsv.txt,155421,204406
KH20-11685_TCRB.tsv.txt,211887,641228
ADIRP0000392_TCRB.tsv.txt,395261,792119
ADIRP0000730_TCRB.tsv.txt,398439,913899
ADIRP0001296_TCRB.tsv.txt,120236,214651
BS-HS-0172_TCRB.tsv.txt,48349,63107
ADIRP0001202_TCRB.tsv.txt,437584,643092
BS-EQ-34-T0-replacement_TCRB.tsv.txt,96207,164883
BS-HS-112_TCRB.tsv.txt,12831,20871
860011347_TCRB.tsv.txt,367289,678518
KH20-09748_TCRB.tsv.txt,242907,614114
860011121_TCRB.tsv.txt,560153,743436
6232BW_TCRB.tsv.txt,268983,549024
KH20-11697_TCRB.tsv.txt,79526,98000
1043_TCRB.tsv.txt,49473,106648
KH20-09951_TCRB.tsv.txt,230292,399289
550043911_TCRB.tsv.txt,70540,271554
550042599_TCRB.tsv.txt,159732,238475
860011495_TCRB.tsv.txt,535150,739671
BS-EQ-29-T1-replacement_TCRB.tsv.txt,80733,152561
860011220_TCRB.tsv.txt,28903,166005
1129-LVM-668_TCRB.tsv.txt,172069,382693
BS-EQ-32-T1-replacement_TCRB.tsv.txt,168657,211824
550042515_TCRB.tsv.txt,87870,178611
BS-GIGI_35-replacement_TCRB.tsv.txt,94602,142008
KHBR20-00178_TCRB.tsv.txt,160352,619461
KH20-09975_TCRB.tsv.txt,270414,414776
BS-GIGI_15-replacement_TCRB.tsv.txt,42942,89758
ADIRP0000117_TCRB.tsv.txt,627846,978292
BS-HS-0147_TCRB.tsv.txt,163804,629153
KH20-09717_TCRB.tsv.txt,417622,1528210
1035_TCRB.tsv.txt,61918,637732
860011492_TCRB.tsv.txt,120015,297613
INCOV003-BL-5_TCRB.tsv.txt,90118,103977
BS-EQ-11-T2-replacement_TCRB.tsv.txt,39171,87360
BS-GIGI_85-replacement_TCRB.tsv.txt,44516,56736
ADIRP0001079_TCRB.tsv.txt,513972,718213
BS-GIGI_32-replacement_TCRB.tsv.txt,36432,50615
1020_TCRB.tsv.txt,405407,1170644
ADIRP0001463_TCRB.tsv.txt,877663,1193991
860011224_TCRB.tsv.txt,509268,951464
KH20-11676_TCRB.tsv.txt,209362,283686
ADIRP0002291_TCRB.tsv.txt,415828,919675
ADIRP0001215_TCRB.tsv.txt,314034,591770
860011320_TCRB.tsv.txt,25267,164655
860011251_TCRB.tsv.txt,414560,1506392
KH20-09985_TCRB.tsv.txt,197697,399197
860011450_TCRB.tsv.txt,144000,646260
ADIRP0001717_TCRB.tsv.txt,465162,700268
550043920_TCRB.tsv.txt,353749,461655
BS-GIGI_88-replacement_TCRB.tsv.txt,72120,138283
BS-HS-133_TCRB.tsv.txt,36075,80478
BS-GN-0016-T0-replacement_TCRB.tsv.txt,167376,213471
KH20-11810_TCRB.tsv.txt,74032,108591
BS-HS-57_TCRB.tsv.txt,11250,32045
BS-GIGI_62-replacement_TCRB.tsv.txt,61884,117934
860011314_TCRB.tsv.txt,178721,841430
BS-GIGI_66-replacement_TCRB.tsv.txt,44359,67482
860011205_TCRB.tsv.txt,23878,99410
KHBR20-00156_TCRB.tsv.txt,92096,167927
1004-BM-132_TCRB.tsv.txt,232413,427232
INCOV032-AC-3_TCRB.tsv.txt,141212,269020
INCOV068-AC-3_TCRB.tsv.txt,543477,863172
INCOV067-AC-3_TCRB.tsv.txt,0,0
BS-EQ-29-T0-replacement_TCRB.tsv.txt,70417,135973
INCOV083-BL-3_TCRB.tsv.txt,365752,757905
550043914_TCRB.tsv.txt,270953,634330
KH20-11702_TCRB.tsv.txt,161958,302394
1469-CA-823_TCRB.tsv.txt,156345,337070
ADIRP0001104_TCRB.tsv.txt,149314,189450
INCOV025-AC-3_TCRB.tsv.txt,174098,405776
KH20-11647_TCRB.tsv.txt,103971,454293
INCOV062-AC-3_TCRB.tsv.txt,477136,972554
KHBR20-00076_TCRB.tsv.txt,148624,937693
KHBR20-00190_TCRB.tsv.txt,347200,630716
A-S-replacement_TCRB.tsv.txt,122411,171117
INCOV001-AC-5_TCRB.tsv.txt,402313,586408
KHBR20-00108_TCRB.tsv.txt,179075,327896
KHBR20-00151_TCRB.tsv.txt,217846,360251
BS-EQ-10-T1-replacement_TCRB.tsv.txt,25125,46383
BS-EQ-0027-T1-replacement_TCRB.tsv.txt,34871,51508
550043955_TCRB.tsv.txt,136973,675362
860011352_TCRB.tsv.txt,130241,252851
BS-GIGI_75-replacement_TCRB.tsv.txt,273044,364070
KHBR20-00167_TCRB.tsv.txt,95702,137853
BS-GIGI_71-replacement_TCRB.tsv.txt,3202,5280
KHBR20-00146_TCRB.tsv.txt,510036,706901
ADIRP0000679_TCRB.tsv.txt,806306,1069561
KH20-11690_TCRB.tsv.txt,354752,614287
BS-GIGI_92-replacement_TCRB.tsv.txt,109043,185765
BS-HS-86_TCRB.tsv.txt,139383,201604
1005_TCRB.tsv.txt,21218,48438
KH20-11653_TCRB.tsv.txt,441068,944104
KHBR20-00182_TCRB.tsv.txt,63629,370067
ADIRP0000052_TCRB.tsv.txt,461477,729647
860011232_TCRB.tsv.txt,340766,1405179
BS-HS-223_TCRB.tsv.txt,90759,163984
KH20-11307_TCRB.tsv.txt,45571,123132
INCOV063-AC-3_TCRB.tsv.txt,329764,863493
KH20-09974_TCRB.tsv.txt,273236,573571
1051_TCRB.tsv.txt,878218,1336903
BS-EQ-0014-T1-replacement_TCRB.tsv.txt,191036,238752
BS-HS-65_TCRB.tsv.txt,27721,62648
BS-EQ-43-T1_BS-GIGI-137-replacement_TCRB.tsv.txt,78294,133266
860011131_TCRB.tsv.txt,145343,241523
BS-HS-31_TCRB.tsv.txt,12794,23988
860011107_TCRB.tsv.txt,28038,34710
1060_TCRB.tsv.txt,263066,849768
1016_TCRB.tsv.txt,119776,331247
BS-HS-15_TCRB.tsv.txt,94393,243655
860011280_TCRB.tsv.txt,281973,574766
KH20-11295_TCRB.tsv.txt,56319,71191
ADIRP0000120_TCRB.tsv.txt,886534,1212560
INCOV047-AC-3_TCRB.tsv.txt,298500,393101
550042410_TCRB.tsv.txt,111689,146583
ADIRP0000347_TCRB.tsv.txt,600732,985893
550043903_TCRB.tsv.txt,132096,392874
KH20-09658_TCRB.tsv.txt,494108,630736
860011323_TCRB.tsv.txt,243115,454544
KHBR20-00091_TCRB.tsv.txt,242433,344876
860011108_TCRB.tsv.txt,71232,130425
KHBR20-00138_TCRB.tsv.txt,47615,1352256
KHBR20-00144_TCRB.tsv.txt,75708,280490
860011116_TCRB.tsv.txt,112190,266866
INCOV005-AC-5_TCRB.tsv.txt,132182,246762
3602BW_TCRB.tsv.txt,474419,638462
KHBR20-00201_TCRB.tsv.txt,185232,235856
550042609_TCRB.tsv.txt,159925,230041
BS-EQ-07-T1-replacement_TCRB.tsv.txt,50694,91433
KHBR20-00089_TCRB.tsv.txt,47210,174988
ADIRP0001893_TCRB.tsv.txt,384050,652016
BS-HS-130_TCRB.tsv.txt,18531,50871
1061_TCRB.tsv.txt,52776,265257
1024_TCRB.tsv.txt,108751,224323
BS-EQ-35-T0-replacement_TCRB.tsv.txt,84824,157527
860011337_TCRB.tsv.txt,132132,658543
BS-HS-164_TCRB.tsv.txt,98834,286207
BS-GIGI_44-replacement_TCRB.tsv.txt,15574,19329
1127-BA-739_TCRB.tsv.txt,55716,128110
BS-EQ-0001-T1-replacement_TCRB.tsv.txt,34831,68238
KH20-09712_TCRB.tsv.txt,701166,1125143
KH20-11651_TCRB.tsv.txt,304759,656542
KH20-09750_TCRB.tsv.txt,129338,230540
989003BW_TCRB.tsv.txt,401155,579997
1566515BW_TCRB.tsv.txt,233105,591060
ADIRP0002499_TCRB.tsv.txt,369273,700656
KH20-09972_TCRB.tsv.txt,355743,557871
1568100BW_TCRB.tsv.txt,308561,408187
INCOV057-AC-3_TCRB.tsv.txt,561563,849728
KH20-09954_TCRB.tsv.txt,222406,352383
ADIRP0001163_TCRB.tsv.txt,496011,793686
INCOV005-CV-3_TCRB.tsv.txt,170640,417567
860011227_TCRB.tsv.txt,191446,1135404
ADIRP0001726_TCRB.tsv.txt,491980,717215
ADIRP0002417_TCRB.tsv.txt,225177,407280
KHBR20-00165_TCRB.tsv.txt,86124,137025
BS-HS-0173_TCRB.tsv.txt,79657,130009
KH20-11641_TCRB.tsv.txt,206330,335563
ADIRP0000570_TCRB.tsv.txt,258785,437490
860011234_TCRB.tsv.txt,28736,77720
KH20-11656_TCRB.tsv.txt,413540,651655
KH20-09969_TCRB.tsv.txt,458023,878161
860011118_TCRB.tsv.txt,273754,1123742
297752BW_TCRB.tsv.txt,173572,607307
BS-GN-0010-T0-replacement_TCRB.tsv.txt,26537,36686
INCOV015-AC-5_TCRB.tsv.txt,313846,545569
ADIRP0002464_TCRB.tsv.txt,113312,191136
BS-EQ-28-T2-replacement_TCRB.tsv.txt,168797,234243
INCOV006-AC-5_TCRB.tsv.txt,296246,395960
550042361_TCRB.tsv.txt,108091,211718
BS-HS-155_TCRB.tsv.txt,135879,238509
ADIRP0002512_TCRB.tsv.txt,327315,952401
BS-HS-187_TCRB.tsv.txt,54181,83903
ADIRP0000837_TCRB.tsv.txt,255283,512911
ADIRP0002576_TCRB.tsv.txt,396721,533101
KH20-09950_TCRB.tsv.txt,435145,571092
ADIRP0000919_TCRB.tsv.txt,257796,383100
INCOV081-AC-3_TCRB.tsv.txt,893613,1183265
BS-EQ-44-T0_BS-GIGI_11-replacement_TCRB.tsv.txt,3498,27924
1062_TCRB.tsv.txt,312541,1149711
1445BW_TCRB.tsv.txt,571870,1075783
BS-GIGI_01-replacement_TCRB.tsv.txt,54146,100258
1047_TCRB.tsv.txt,589083,1116369
INCOV057-BL-3_TCRB.tsv.txt,615958,939568
550042451_TCRB.tsv.txt,825865,1348313
BS-GIGI_03-replacement_TCRB.tsv.txt,67321,106715
KH20-09665_TCRB.tsv.txt,32861,60880
BS-GN-0008-T0-replacement_TCRB.tsv.txt,24558,100598
860011326_TCRB.tsv.txt,282672,549057
INCOV035-AC-3_TCRB.tsv.txt,168453,260523
BS-GIGI_33-replacement_TCRB.tsv.txt,88672,154760
INCOV051-BL-3_TCRB.tsv.txt,260151,381365
INCOV011-AC-5_TCRB.tsv.txt,172891,318046
860011322_TCRB.tsv.txt,87299,215244
1011-BE-471_TCRB.tsv.txt,136385,226567
110047542_TCRB.tsv.txt,282020,815336
KH20-11650_TCRB.tsv.txt,44233,914609
BS-HS-189_TCRB.tsv.txt,148923,1499461
BS-SPECIAL-1_TCRB.tsv.txt,32466,37155
1064_TCRB.tsv.txt,140694,312620
KH20-09714_TCRB.tsv.txt,272000,438591
KH20-09729_TCRB.tsv.txt,434941,849522
ADIRP0000709_TCRB.tsv.txt,444813,661317
KHBR20-00174_TCRB.tsv.txt,422651,593476
ADIRP0002175_TCRB.tsv.txt,674071,854774
BS-EQ-31-T0-replacement_TCRB.tsv.txt,37502,55123
BS-EQ-38-T2-replacement_TCRB.tsv.txt,139289,247038
INCOV060-BL-3_TCRB.tsv.txt,569187,1150804
860011249_TCRB.tsv.txt,330180,484397
BS-HS-138_TCRB.tsv.txt,44460,83989
KH20-09984_TCRB.tsv.txt,209564,497182
INCOV049-AC-3_TCRB.tsv.txt,133674,201934
BS-HS-208_TCRB.tsv.txt,330567,474284
KH20-09661_TCRB.tsv.txt,84440,132998
KH20-09724_TCRB.tsv.txt,125654,451324
ADIRP0000045_TCRB.tsv.txt,440683,584838
KH20-09687_TCRB.tsv.txt,129885,366495
ADIRP0000623_TCRB.tsv.txt,712801,1280806
KH20-11294_TCRB.tsv.txt,96536,157030
ADIRP0001388_TCRB.tsv.txt,673110,871923
INCOV078-AC-3_TCRB.tsv.txt,962377,1318260
860011462_TCRB.tsv.txt,41155,106725
INCOV073-AC-3_TCRB.tsv.txt,304761,496215
BS-EQ-41-T0-replacement_TCRB.tsv.txt,158613,217914
INCOV015-BL-5_TCRB.tsv.txt,112674,210553
BS-HS-220_TCRB.tsv.txt,84742,160937
BS-GIGI_04-replacement_TCRB.tsv.txt,27785,95689
ADIRP0000067_TCRB.tsv.txt,388939,622070
860011109_TCRB.tsv.txt,79024,169862
INCOV074-BL-3_TCRB.tsv.txt,679280,905921
KH20-09685_TCRB.tsv.txt,167187,321111
ADIRP0000036_TCRB.tsv.txt,606057,907816
BS-GIGI_51-replacement_TCRB.tsv.txt,50258,225835
BS-GN-0007-T0-replacement_TCRB.tsv.txt,16785,27173
ADIRP0001869_TCRB.tsv.txt,396323,763481
KH20-09964_TCRB.tsv.txt,143175,271814
KH20-09660_TCRB.tsv.txt,172189,353899
KHBR20-00102_TCRB.tsv.txt,158294,315722
L-I-replacement_TCRB.tsv.txt,172859,342608
KHBR20-00119_TCRB.tsv.txt,73600,242674
BS-GIGI_78-replacement_TCRB.tsv.txt,72463,93682
BS-HS-120_TCRB.tsv.txt,66232,87499
KH20-11643_TCRB.tsv.txt,127823,536958
BS-HS-20_TCRB.tsv.txt,49141,64442
ADIRP0002498_TCRB.tsv.txt,894245,1453906
INCOV018-AC-5_TCRB.tsv.txt,22158,52224
KH20-11654_TCRB.tsv.txt,418014,588107
ADIRP0000975_TCRB.tsv.txt,344542,498044
860011111_TCRB.tsv.txt,215767,426122
ADIRP0001152_TCRB.tsv.txt,477178,722370
BS-EQ-36-T0-replacement_TCRB.tsv.txt,109242,134073
KHBR20-00085_TCRB.tsv.txt,40963,157338
860011263_TCRB.tsv.txt,340935,595977
KH20-09700_TCRB.tsv.txt,25118,50172
INCOV056-BL-3_TCRB.tsv.txt,627781,865704
BS-HS-0201_TCRB.tsv.txt,102686,199501
BS-GIGI_36-replacement_TCRB.tsv.txt,59106,97484
INCOV027-AC-3_TCRB.tsv.txt,546791,768279
KH20-09691_TCRB.tsv.txt,226182,475447
BS-HS-224_TCRB.tsv.txt,14002,63273
KHBR20-00202_TCRB.tsv.txt,146097,339198
INCOV024-CV-3_TCRB.tsv.txt,270132,426123
860011113_TCRB.tsv.txt,148741,252013
INCOV054-BL-3_TCRB.tsv.txt,252302,461340
KHBR20-00103_TCRB.tsv.txt,89608,115827
1031_TCRB.tsv.txt,123699,980956
INCOV052-AC-3_TCRB.tsv.txt,461881,709618
860011288_TCRB.tsv.txt,152312,418072
KHBR20-00163_TCRB.tsv.txt,211868,266415
BS-HS-16_TCRB.tsv.txt,124241,169222
BS-HS-18_TCRB.tsv.txt,11146,16850
KH20-09994_TCRB.tsv.txt,692960,1359359
KH20-09654_TCRB.tsv.txt,325967,454788
INCOV002-CV-3_TCRB.tsv.txt,597188,1131750
3977BW_TCRB.tsv.txt,420084,750867
860011243_TCRB.tsv.txt,143445,234444
BS-HS-0175_TCRB.tsv.txt,100528,148478
KH20-09973_TCRB.tsv.txt,447001,787012
550041451_TCRB.tsv.txt,24304,232275
KHBR20-00206_TCRB.tsv.txt,65153,127886
KH20-09721_TCRB.tsv.txt,526495,924989
BS-HS-0170_TCRB.tsv.txt,31659,45378
860011124_TCRB.tsv.txt,54866,74510
KH20-09978_TCRB.tsv.txt,225224,611723
2402BW_TCRB.tsv.txt,309132,855329
KHBR20-00181_TCRB.tsv.txt,120447,164031
ADIRP0002705_TCRB.tsv.txt,472053,883491
ADIRP0000106_TCRB.tsv.txt,536130,828941
ADIRP0000387_TCRB.tsv.txt,570747,759571
KH20-09710_TCRB.tsv.txt,231952,657811
INCOV028-BL-3_TCRB.tsv.txt,70406,97974
KH20-09953_TCRB.tsv.txt,267927,414967
ADIRP0000342_TCRB.tsv.txt,289060,420208
550040521_TCRB.tsv.txt,128531,244250
860011129_TCRB.tsv.txt,55770,96279
BS-EQ-33-T2-replacement_TCRB.tsv.txt,150385,284145
1050_TCRB.tsv.txt,256598,2022849
ADIR0000086_TCRB.tsv.txt,486047,891795
860011355_TCRB.tsv.txt,314991,818227
BS-EQ-38-T0-replacement_TCRB.tsv.txt,89632,156546
KH20-09705_TCRB.tsv.txt,231220,393163
860011215_TCRB.tsv.txt,62586,88375
860011264_TCRB.tsv.txt,416203,899355
BS-EQ-14-T3-replacement_TCRB.tsv.txt,120760,175908
KH20-09727_TCRB.tsv.txt,233485,756038
BS-GIGI_95-replacement_TCRB.tsv.txt,8574,25797
KHBR20-00205_TCRB.tsv.txt,149549,219396
ADIRP0001278_TCRB.tsv.txt,564079,939636
860011248_TCRB.tsv.txt,77211,123565
BS-GIGI_94-replacement_TCRB.tsv.txt,194868,546374
550042351_TCRB.tsv.txt,107400,220126
BS-HS-82_TCRB.tsv.txt,26684,39112
INCOV081-BL-3_TCRB.tsv.txt,795206,1030838
234129BW_TCRB.tsv.txt,414191,715099
ADIRP0002474_TCRB.tsv.txt,350790,803058
860011346_TCRB.tsv.txt,190988,536798
ADIRP0000141_TCRB.tsv.txt,596278,923195
ADIRP0002300_TCRB.tsv.txt,231711,577802
KHBR20-00145_TCRB.tsv.txt,131293,179631
KH20-11678_TCRB.tsv.txt,293592,636355
INCOV079-AC-3_TCRB.tsv.txt,317478,464747
550043905_TCRB.tsv.txt,64218,259231
860011286_TCRB.tsv.txt,258128,487395
KH20-09980_TCRB.tsv.txt,229039,531536
ADIRP0000289_TCRB.tsv.txt,806204,1123377
860011245_TCRB.tsv.txt,42356,61528
860011225_TCRB.tsv.txt,72101,314393
BS-GIGI_41-replacement_TCRB.tsv.txt,73009,316775
BS-EQ-43-T0-replacement_TCRB.tsv.txt,44213,71549
INCOV016-AC-5_TCRB.tsv.txt,129388,269964
BS-HS-0188_TCRB.tsv.txt,130124,219867
977-NC-1268_TCRB.tsv.txt,236805,535147
KH20-11292_TCRB.tsv.txt,136303,261496
ADIRP0002444_TCRB.tsv.txt,275446,430755
550041250_TCRB.tsv.txt,143440,481555
ADIRP0001865_TCRB.tsv.txt,751383,985062
BS-HS-05_TCRB.tsv.txt,37001,60511
ADIRP0000376_TCRB.tsv.txt,714960,995906
BS-EQ-44-T1-replacement_TCRB.tsv.txt,6409,47070
KH20-09948_TCRB.tsv.txt,80200,198920
550042239_TCRB.tsv.txt,263635,481445
KHBR20-00136_TCRB.tsv.txt,199833,329279
KH20-11675_TCRB.tsv.txt,79565,119961
860011351_TCRB.tsv.txt,368303,505774
KH20-09706_TCRB.tsv.txt,461621,663308
KH20-09968_TCRB.tsv.txt,289284,418070
860011106_TCRB.tsv.txt,543528,929243
BS-HS-100_TCRB.tsv.txt,47596,56598
860011497_TCRB.tsv.txt,262879,421796
860011490_TCRB.tsv.txt,137761,182890
INCOV041-AC-3_TCRB.tsv.txt,352280,480110
1008_TCRB.tsv.txt,114364,161718
860011212_TCRB.tsv.txt,186036,272178
BS-GIGI_23-replacement_TCRB.tsv.txt,12164,15607
INCOV007-CV-3_TCRB.tsv.txt,425666,754379
ADIRP0001657_TCRB.tsv.txt,386470,628464
BS-GIGI_06-replacement_TCRB.tsv.txt,40203,161342
KH20-11668_TCRB.tsv.txt,381551,584885
INCOV026-AC-3_TCRB.tsv.txt,435638,508591
INCOV014-BL-5_TCRB.tsv.txt,164687,439259
KH20-09680_TCRB.tsv.txt,61929,100579
1566837BW_TCRB.tsv.txt,310890,502901
1017_TCRB.tsv.txt,515707,1181443
KH20-09659_TCRB.tsv.txt,250126,707499
ADIRP0000023_TCRB.tsv.txt,550116,824218
BS-GN-0005-T0-replacement_TCRB.tsv.txt,98570,191063
KH20-09676_TCRB.tsv.txt,39341,69722
ADIRP0002425_TCRB.tsv.txt,311225,606929
BS-GIGI_74-replacement_TCRB.tsv.txt,101733,146301
INCOV063-BL-3_TCRB.tsv.txt,324986,840863
860011255_TCRB.tsv.txt,637395,1013558
KH20-09976_TCRB.tsv.txt,301934,772592
ADIRP0001555_TCRB.tsv.txt,414083,749552
860011259_TCRB.tsv.txt,350090,478278
550041288_TCRB.tsv.txt,167734,258259
ADIRP0000356_TCRB.tsv.txt,687069,905109
1009-EKB-156_TCRB.tsv.txt,268461,539663
KH20-11815_TCRB.tsv.txt,218055,307225
860011217_TCRB.tsv.txt,235162,404528
KH20-09992_TCRB.tsv.txt,168315,614744
1569039BW_TCRB.tsv.txt,502107,842256
KH20-09747_TCRB.tsv.txt,79964,611789
