run,number_of_clones
330000780808_S172_L002.clonotypes.TRA.txt,10330
240101580808_S143_L002.clonotypes.TRA.txt,17228
440000490808_S23_L001.clonotypes.TRA.txt,33662
290000390808_S116_L002.clonotypes.TRA.txt,32945
340002950808_S156_L002.clonotypes.TRA.txt,23046
330002520808_S90_L001.clonotypes.TRA.txt,21388
540002590808_S137_L002.clonotypes.TRA.txt,11338
020000640808_S117_L002.clonotypes.TRA.txt,2442
540002140808_S46_L001.clonotypes.TRA.txt,7295
500001230808_S139_L002.clonotypes.TRA.txt,11650
020003060808_S142_L002.clonotypes.TRA.txt,37001
330001790808_S146_L002.clonotypes.TRA.txt,22747
330002580808_S96_L001.clonotypes.TRA.txt,4628
540003550808_S2_L001.clonotypes.TRA.txt,6801
330002940808_S80_L001.clonotypes.TRA.txt,26511
540002690808_S106_L002.clonotypes.TRA.txt,29626
330000090808_S70_L001.clonotypes.TRA.txt,32303
540002610808_S145_L002.clonotypes.TRA.txt,6398
270000030808_S190_L002.clonotypes.TRA.txt,33514
500003040808_S82_L001.clonotypes.TRA.txt,14519
690001120808_S124_L002.clonotypes.TRA.txt,22905
500000950808_S26_L001.clonotypes.TRA.txt,30842
050001100808_S169_L002.clonotypes.TRA.txt,17441
460001120808_S104_L002.clonotypes.TRA.txt,21810
020003190808_S12_L001.clonotypes.TRA.txt,37710
270000070808_S20_L001.clonotypes.TRA.txt,66366
540002700808_S114_L002.clonotypes.TRA.txt,4620
020000340808_S82_L001.clonotypes.TRA.txt,15849
340002960808_S164_L002.clonotypes.TRA.txt,13104
330001050808_S101_L002.clonotypes.TRA.txt,20785
460000920808_S136_L002.clonotypes.TRA.txt,34954
360001420808_S157_L002.clonotypes.TRA.txt,23388
540000140808_S36_L001.clonotypes.TRA.txt,8593
540002180808_S45_L001.clonotypes.TRA.txt,13650
050000440808_S15_L001.clonotypes.TRA.txt,47045
540003600808_S10_L001.clonotypes.TRA.txt,26563
500001240808_S115_L002.clonotypes.TRA.txt,14874
270000040808_S103_L002.clonotypes.TRA.txt,14543
440000030808_S13_L001.clonotypes.TRA.txt,16959
400000310808_S142_L002.clonotypes.TRA.txt,54421
050000610101_S103_L002.clonotypes.TRA.txt,14038
540002620808_S153_L002.clonotypes.TRA.txt,19211
540003680808_S1_L001.clonotypes.TRA.txt,19247
050001210808_S129_L002.clonotypes.TRA.txt,15675
360001370808_S189_L002.clonotypes.TRA.txt,12443
270000290808_S149_L002.clonotypes.TRA.txt,29147
440000500808_S183_L002.clonotypes.TRA.txt,30503
020004130808_S110_L002.clonotypes.TRA.txt,32500
020003830101_S186_L002.clonotypes.TRA.txt,23482
460004460808_S144_L002.clonotypes.TRA.txt,44354
500001250808_S179_L002.clonotypes.TRA.txt,8681
330000350808_S164_L002.clonotypes.TRA.txt,22869
020003100808_S19_L001.clonotypes.TRA.txt,24742
500000990808_S107_L002.clonotypes.TRA.txt,21055
440001540808_S135_L002.clonotypes.TRA.txt,70539
440000180808_S143_L002.clonotypes.TRA.txt,58910
050001130808_S22_L001.clonotypes.TRA.txt,12906
690002050808_S99_L002.clonotypes.TRA.txt,38299
020003200808_S13_L001.clonotypes.TRA.txt,19017
540002640808_S161_L002.clonotypes.TRA.txt,5358
330001060808_S133_L002.clonotypes.TRA.txt,19883
500000860808_S83_L001.clonotypes.TRA.txt,48959
050000880101_S106_L002.clonotypes.TRA.txt,21316
540002260808_S44_L001.clonotypes.TRA.txt,18585
050001610101_S115_L002.clonotypes.TRA.txt,16243
540001040808_S84_L001.clonotypes.TRA.txt,24599
140003810101_S56_L001.clonotypes.TRA.txt,11673
690001200808_S107_L002.clonotypes.TRA.txt,12422
290002570808_S187_L002.clonotypes.TRA.txt,42400
400002860808_S182_L002.clonotypes.TRA.txt,13857
050001190101_S73_L001.clonotypes.TRA.txt,33591
020003940808_S10_L001.clonotypes.TRA.txt,8961
270000090808_S28_L001.clonotypes.TRA.txt,37061
050000320101_S83_L001.clonotypes.TRA.txt,35355
020000350808_S126_L002.clonotypes.TRA.txt,30640
020000650808_S11_L001.clonotypes.TRA.txt,45965
330000870808_S66_L001.clonotypes.TRA.txt,48232
050000630101_S104_L002.clonotypes.TRA.txt,21377
270000580808_S87_L001.clonotypes.TRA.txt,20309
500000010808_S9_L001.clonotypes.TRA.txt,17565
540002290808_S42_L001.clonotypes.TRA.txt,12028
330002320808_S168_L002.clonotypes.TRA.txt,15234
020004200808_S75_L001.clonotypes.TRA.txt,20630
360001430808_S181_L002.clonotypes.TRA.txt,35025
500001040808_S171_L002.clonotypes.TRA.txt,18047
050002060808_S54_L001.clonotypes.TRA.txt,20370
330001910101_S171_L002.clonotypes.TRA.txt,22927
360001830808_S109_L002.clonotypes.TRA.txt,112539
230003360808_S162_L002.clonotypes.TRA.txt,27712
540002400808_S41_L001.clonotypes.TRA.txt,7233
050000930101_S107_L002.clonotypes.TRA.txt,22377
050000010101_S97_L002.clonotypes.TRA.txt,28994
050002050101_S124_L002.clonotypes.TRA.txt,32876
460000940101_S148_L002.clonotypes.TRA.txt,12316
440000470101_S142_L002.clonotypes.TRA.txt,25822
440002980101_S145_L002.clonotypes.TRA.txt,16324
500000410808_S68_L001.clonotypes.TRA.txt,13255
690001770808_S53_L001.clonotypes.TRA.txt,22531
050001230101_S71_L001.clonotypes.TRA.txt,27659
330003330808_S166_L002.clonotypes.TRA.txt,29258
400003590808_S111_L002.clonotypes.TRA.txt,24651
050001820101_S79_L001.clonotypes.TRA.txt,41843
330001870808_S185_L002.clonotypes.TRA.txt,54472
440000190808_S167_L002.clonotypes.TRA.txt,30866
330001580101_S129_L002.clonotypes.TRA.txt,36171
780000840101_S38_L001.clonotypes.TRA.txt,17043
050000670101_S77_L001.clonotypes.TRA.txt,20854
270000110808_S166_L002.clonotypes.TRA.txt,24683
020003810808_S104_L002.clonotypes.TRA.txt,40307
440003040101_S181_L002.clonotypes.TRA.txt,9901
260002990101_S12_L001.clonotypes.TRA.txt,42109
540002630808_S7_L001.clonotypes.TRA.txt,15861
050001700101_S81_L001.clonotypes.TRA.txt,36363
500001470808_S64_L001.clonotypes.TRA.txt,20570
540002970101_S158_L002.clonotypes.TRA.txt,29194
260002840101_S8_L001.clonotypes.TRA.txt,22937
050000480101_S100_L002.clonotypes.TRA.txt,34634
050002120101_S125_L002.clonotypes.TRA.txt,21239
210002070101_S69_L001.clonotypes.TRA.txt,43395
460000990101_S149_L002.clonotypes.TRA.txt,21888
690001970808_S16_L001.clonotypes.TRA.txt,18919
540001400808_S34_L001.clonotypes.TRA.txt,44013
690000970101_S64_L001.clonotypes.TRA.txt,27386
050001050101_S108_L002.clonotypes.TRA.txt,24031
330002530101_S137_L002.clonotypes.TRA.txt,35685
440000530808_S144_L002.clonotypes.TRA.txt,54399
050000050101_S86_L001.clonotypes.TRA.txt,25988
020003840808_S118_L002.clonotypes.TRA.txt,17591
050001290101_S112_L002.clonotypes.TRA.txt,25050
050000730101_S105_L002.clonotypes.TRA.txt,20034
780003440101_S87_L001.clonotypes.TRA.txt,22499
050000520101_S101_L002.clonotypes.TRA.txt,7673
640002980101_S52_L001.clonotypes.TRA.txt,35705
290002630808_S108_L002.clonotypes.TRA.txt,55859
050001710101_S116_L002.clonotypes.TRA.txt,17635
330003400808_S167_L002.clonotypes.TRA.txt,25253
330001930101_S134_L002.clonotypes.TRA.txt,37303
540000560808_S164_L002.clonotypes.TRA.txt,48104
330001660101_S170_L002.clonotypes.TRA.txt,25131
540003090101_S96_L001.clonotypes.TRA.txt,18085
330002550101_S139_L002.clonotypes.TRA.txt,15153
500001490808_S49_L001.clonotypes.TRA.txt,23834
300000940808_S140_L002.clonotypes.TRA.txt,129358
020000330101_S185_L002.clonotypes.TRA.txt,15734
440000480101_S178_L002.clonotypes.TRA.txt,34834
050001070101_S109_L002.clonotypes.TRA.txt,17523
540001930808_S48_L001.clonotypes.TRA.txt,19508
050002170101_S126_L002.clonotypes.TRA.txt,19836
780005220101_S43_L001.clonotypes.TRA.txt,30140
440003140101_S146_L002.clonotypes.TRA.txt,32644
780002090101_S89_L001.clonotypes.TRA.txt,40675
260004150101_S10_L001.clonotypes.TRA.txt,36975
020000670808_S90_L001.clonotypes.TRA.txt,57963
440000050101_S175_L002.clonotypes.TRA.txt,16062
330002700101_S173_L002.clonotypes.TRA.txt,16221
300000960808_S148_L002.clonotypes.TRA.txt,10749
640003540101_S54_L001.clonotypes.TRA.txt,19131
690000990101_S63_L001.clonotypes.TRA.txt,30863
780003450101_S95_L001.clonotypes.TRA.txt,23550
400004310808_S103_L002.clonotypes.TRA.txt,38122
270000120808_S36_L001.clonotypes.TRA.txt,40585
780004960101_S16_L001.clonotypes.TRA.txt,48877
050000740101_S76_L001.clonotypes.TRA.txt,28454
330001940101_S135_L002.clonotypes.TRA.txt,21065
260002850101_S3_L001.clonotypes.TRA.txt,44692
400000180808_S166_L002.clonotypes.TRA.txt,147638
440002200808_S159_L002.clonotypes.TRA.txt,86149
050001750101_S117_L002.clonotypes.TRA.txt,24992
460001130101_S150_L002.clonotypes.TRA.txt,37315
270000100807_S23_L001.clonotypes.TRA.txt,26961
330001670101_S130_L002.clonotypes.TRA.txt,24787
500001620808_S63_L001.clonotypes.TRA.txt,24325
050000540101_S78_L001.clonotypes.TRA.txt,32308
050001830101_S119_L002.clonotypes.TRA.txt,57114
440000570808_S128_L002.clonotypes.TRA.txt,41241
210002270101_S70_L001.clonotypes.TRA.txt,44329
780003490101_S93_L001.clonotypes.TRA.txt,13664
050000070101_S98_L002.clonotypes.TRA.txt,44029
050001310101_S113_L002.clonotypes.TRA.txt,40336
050002210101_S127_L002.clonotypes.TRA.txt,26338
540003110101_S159_L002.clonotypes.TRA.txt,33669
540001160101_S152_L002.clonotypes.TRA.txt,32316
780002130101_S90_L001.clonotypes.TRA.txt,22003
230003070807_S37_L001.clonotypes.TRA.txt,39085
260004220101_S11_L001.clonotypes.TRA.txt,25718
050001090101_S72_L001.clonotypes.TRA.txt,35498
780005240101_S42_L001.clonotypes.TRA.txt,27697
330001990101_S136_L002.clonotypes.TRA.txt,18429
330002760101_S140_L002.clonotypes.TRA.txt,25623
440003240101_S182_L002.clonotypes.TRA.txt,27039
780005090101_S40_L001.clonotypes.TRA.txt,22494
440000200808_S136_L002.clonotypes.TRA.txt,68492
330001850101_S131_L002.clonotypes.TRA.txt,17504
020002240807_S106_L002.clonotypes.TRA.txt,53253
330000550808_S72_L001.clonotypes.TRA.txt,29983
540002050101_S154_L002.clonotypes.TRA.txt,12334
330001290807_S162_L002.clonotypes.TRA.txt,25066
690001010101_S62_L001.clonotypes.TRA.txt,35475
280001880807_S135_L002.clonotypes.TRA.txt,43170
440000300808_S78_L001.clonotypes.TRA.txt,5516
440000270101_S176_L002.clonotypes.TRA.txt,35394
690000060101_S60_L001.clonotypes.TRA.txt,34184
780003880101_S91_L001.clonotypes.TRA.txt,18653
050001960101_S120_L002.clonotypes.TRA.txt,31346
210003270101_S66_L001.clonotypes.TRA.txt,22634
270000130807_S31_L001.clonotypes.TRA.txt,30882
440003270101_S183_L002.clonotypes.TRA.txt,12683
540003420101_S160_L002.clonotypes.TRA.txt,21628
780005250101_S46_L001.clonotypes.TRA.txt,14534
050001350101_S114_L002.clonotypes.TRA.txt,25228
050001170101_S110_L002.clonotypes.TRA.txt,16350
500001920808_S20_L001.clonotypes.TRA.txt,29145
260002880101_S4_L001.clonotypes.TRA.txt,35944
780005110101_S50_L001.clonotypes.TRA.txt,15868
230002070807_S129_L002.clonotypes.TRA.txt,12358
050000750101_S74_L001.clonotypes.TRA.txt,42147
260004240101_S13_L001.clonotypes.TRA.txt,24692
330000810808_S11_L001.clonotypes.TRA.txt,12044
050001790101_S80_L001.clonotypes.TRA.txt,38379
140001090101_S55_L001.clonotypes.TRA.txt,30335
440000330101_S141_L002.clonotypes.TRA.txt,13457
440000850101_S179_L002.clonotypes.TRA.txt,58574
230003090807_S29_L001.clonotypes.TRA.txt,29297
500000930101_S58_L001.clonotypes.TRA.txt,44162
330001390807_S154_L002.clonotypes.TRA.txt,19167
540002380807_S103_L002.clonotypes.TRA.txt,7780
780002140101_S94_L001.clonotypes.TRA.txt,33825
270000150807_S39_L001.clonotypes.TRA.txt,15138
500001210807_S66_L001.clonotypes.TRA.txt,9721
400000210808_S174_L002.clonotypes.TRA.txt,49580
780004510101_S41_L001.clonotypes.TRA.txt,18775
360001840808_S101_L002.clonotypes.TRA.txt,121049
280002980807_S49_L001.clonotypes.TRA.txt,55018
050001460101_S82_L001.clonotypes.TRA.txt,24000
050000550101_S84_L001.clonotypes.TRA.txt,42692
210003330101_S68_L001.clonotypes.TRA.txt,17182
470001590807_S68_L001.clonotypes.TRA.txt,16260
330002030808_S165_L002.clonotypes.TRA.txt,32233
330002800101_S174_L002.clonotypes.TRA.txt,40048
230003110807_S21_L001.clonotypes.TRA.txt,9736
440000650808_S175_L002.clonotypes.TRA.txt,45059
640002170101_S51_L001.clonotypes.TRA.txt,24583
050002000101_S121_L002.clonotypes.TRA.txt,33550
050000090101_S85_L001.clonotypes.TRA.txt,46267
400004360808_S190_L002.clonotypes.TRA.txt,56936
370000490808_S102_L002.clonotypes.TRA.txt,6802
050001810101_S118_L002.clonotypes.TRA.txt,19924
470001090807_S160_L002.clonotypes.TRA.txt,24280
440001210101_S143_L002.clonotypes.TRA.txt,14819
540002270101_S155_L002.clonotypes.TRA.txt,36790
330001860101_S132_L002.clonotypes.TRA.txt,34351
690001180101_S161_L002.clonotypes.TRA.txt,34241
540002770807_S50_L001.clonotypes.TRA.txt,15449
780002510101_S92_L001.clonotypes.TRA.txt,15831
270000160807_S47_L001.clonotypes.TRA.txt,20257
140003720101_S57_L001.clonotypes.TRA.txt,26251
440000880101_S63_L001.clonotypes.TRA.txt,39001
440000440101_S177_L002.clonotypes.TRA.txt,23647
780005280101_S44_L001.clonotypes.TRA.txt,34595
460000850101_S147_L002.clonotypes.TRA.txt,34991
690000110101_S59_L001.clonotypes.TRA.txt,39209
280001890807_S143_L002.clonotypes.TRA.txt,42771
440003380808_S112_L002.clonotypes.TRA.txt,64776
230002080807_S137_L002.clonotypes.TRA.txt,33863
780005150101_S47_L001.clonotypes.TRA.txt,33484
500001300807_S3_L001.clonotypes.TRA.txt,25155
330000100807_S67_L001.clonotypes.TRA.txt,21357
050000130101_S99_L002.clonotypes.TRA.txt,13489
050002010101_S122_L002.clonotypes.TRA.txt,18501
260002910101_S9_L001.clonotypes.TRA.txt,35413
330002050101_S172_L002.clonotypes.TRA.txt,19919
270000620101_S65_L001.clonotypes.TRA.txt,40835
630001790807_S92_L001.clonotypes.TRA.txt,20395
330001880101_S133_L002.clonotypes.TRA.txt,14556
630003920807_S115_L002.clonotypes.TRA.txt,18726
690002520101_S2_L001.clonotypes.TRA.txt,13665
440001580101_S144_L002.clonotypes.TRA.txt,16970
470001130807_S104_L002.clonotypes.TRA.txt,16560
690000430101_S61_L001.clonotypes.TRA.txt,9598
540002790807_S58_L001.clonotypes.TRA.txt,15910
470002530808_S72_L001.clonotypes.TRA.txt,26039
770101010807_S107_L002.clonotypes.TRA.txt,21679
540002600101_S156_L002.clonotypes.TRA.txt,19429
330003060808_S80_L001.clonotypes.TRA.txt,35667
780004910101_S26_L001.clonotypes.TRA.txt,30949
270001010808_S158_L002.clonotypes.TRA.txt,18820
780003320101_S88_L001.clonotypes.TRA.txt,18163
050000600101_S102_L002.clonotypes.TRA.txt,31909
780004080807_S53_L001.clonotypes.TRA.txt,14710
770101560807_S174_L002.clonotypes.TRA.txt,24508
540000070101_S151_L002.clonotypes.TRA.txt,37448
500001310807_S89_L001.clonotypes.TRA.txt,12716
540002780101_S157_L002.clonotypes.TRA.txt,4075
780001250807_S145_L002.clonotypes.TRA.txt,17487
780005300101_S49_L001.clonotypes.TRA.txt,19336
050002040101_S123_L002.clonotypes.TRA.txt,15606
340003410808_S34_L001.clonotypes.TRA.txt,13091
780005180101_S45_L001.clonotypes.TRA.txt,20683
230002180807_S176_L002.clonotypes.TRA.txt,21833
210004080101_S67_L001.clonotypes.TRA.txt,42649
270001130808_S87_L001.clonotypes.TRA.txt,16219
640002780101_S53_L001.clonotypes.TRA.txt,39061
260002950101_S7_L001.clonotypes.TRA.txt,21758
500001320807_S82_L001.clonotypes.TRA.txt,9892
440000940101_S71_L001.clonotypes.TRA.txt,26415
330001570101_S128_L002.clonotypes.TRA.txt,21753
780000760101_S36_L001.clonotypes.TRA.txt,25487
330003180807_S94_L001.clonotypes.TRA.txt,16980
770101790807_S4_L001.clonotypes.TRA.txt,13690
470001410807_S163_L002.clonotypes.TRA.txt,20337
330000310807_S59_L001.clonotypes.TRA.txt,28294
540002820808_S93_L001.clonotypes.TRA.txt,4907
280001570807_S57_L001.clonotypes.TRA.txt,26308
550004220808_S150_L002.clonotypes.TRA.txt,47153
540000450808_S163_L002.clonotypes.TRA.txt,18386
440002110101_S180_L002.clonotypes.TRA.txt,25127
050002460101_S189_L002.clonotypes.TRA.txt,30964
780008300807_S73_L001.clonotypes.TRA.txt,21668
770101060807_S25_L001.clonotypes.TRA.txt,24464
780001400808_S64_L001.clonotypes.TRA.txt,18127
690000080807_S19_L001.clonotypes.TRA.txt,28547
540003060808_S94_L001.clonotypes.TRA.txt,6869
280002120807_S127_L002.clonotypes.TRA.txt,39298
400000250808_S126_L002.clonotypes.TRA.txt,54236
550002260807_S88_L001.clonotypes.TRA.txt,28784
540002490807_S111_L002.clonotypes.TRA.txt,64167
780005210101_S39_L001.clonotypes.TRA.txt,18529
340003780808_S26_L001.clonotypes.TRA.txt,26942
630002250807_S86_L001.clonotypes.TRA.txt,33315
230002210807_S169_L002.clonotypes.TRA.txt,20546
260000240807_S152_L002.clonotypes.TRA.txt,55244
330001960808_S82_L001.clonotypes.TRA.txt,17730
780008480101_S17_L001.clonotypes.TRA.txt,24423
770102700807_S20_L001.clonotypes.TRA.txt,42619
500002190807_S8_L001.clonotypes.TRA.txt,17202
340003430808_S35_L001.clonotypes.TRA.txt,23869
470002910807_S120_L002.clonotypes.TRA.txt,34373
340003710808_S17_L001.clonotypes.TRA.txt,32279
500000140808_S8_L001.clonotypes.TRA.txt,46845
330003360808_S142_L002.clonotypes.TRA.txt,17126
520001830101_S107_L002.clonotypes.TRA.txt,22534
770101940807_S90_L001.clonotypes.TRA.txt,20507
260000320807_S144_L002.clonotypes.TRA.txt,6795
550002940807_S1_L001.clonotypes.TRA.txt,11100
470001420807_S52_L001.clonotypes.TRA.txt,20272
340003790808_S27_L001.clonotypes.TRA.txt,12074
540002120807_S95_L002.clonotypes.TRA.txt,10074
210000150101_S184_L002.clonotypes.TRA.txt,22054
690000370808_S24_L001.clonotypes.TRA.txt,18117
280002460807_S123_L002.clonotypes.TRA.txt,19686
670005070101_S102_L002.clonotypes.TRA.txt,27069
330002000808_S79_L001.clonotypes.TRA.txt,18768
590001290101_S100_L002.clonotypes.TRA.txt,32630
730000520101_S143_L002.clonotypes.TRA.txt,21238
460002780101_S137_L002.clonotypes.TRA.txt,53427
540002720807_S18_L001.clonotypes.TRA.txt,21124
500000230101_S98_L002.clonotypes.TRA.txt,44668
630002270807_S184_L002.clonotypes.TRA.txt,22212
500004230101_S177_L002.clonotypes.TRA.txt,41875
590002640101_S124_L002.clonotypes.TRA.txt,37449
670004690101_S119_L002.clonotypes.TRA.txt,29147
780001680807_S170_L002.clonotypes.TRA.txt,26842
230003020807_S77_L001.clonotypes.TRA.txt,22295
670005530101_S127_L002.clonotypes.TRA.txt,25985
470001440807_S171_L002.clonotypes.TRA.txt,15682
770101150807_S159_L002.clonotypes.TRA.txt,33429
270000080807_S15_L001.clonotypes.TRA.txt,20548
590004410101_S163_L002.clonotypes.TRA.txt,45028
340003720808_S20_L001.clonotypes.TRA.txt,25391
770101970807_S12_L001.clonotypes.TRA.txt,21851
520002210101_S178_L002.clonotypes.TRA.txt,24210
