run,number_of_clones
050001330808_S153_L002.clonotypes.TRA.txt,12416
020000010808_S3_L001.clonotypes.TRA.txt,7838
360001440808_S141_L002.clonotypes.TRA.txt,9562
690001140808_S97_L002.clonotypes.TRA.txt,9270
330002060808_S122_L002.clonotypes.TRA.txt,14803
330001070808_S180_L002.clonotypes.TRA.txt,17515
440000790808_S68_L001.clonotypes.TRA.txt,13510
050002090808_S74_L001.clonotypes.TRA.txt,14252
270000870808_S37_L001.clonotypes.TRA.txt,12424
540003270808_S65_L001.clonotypes.TRA.txt,15649
360001380808_S173_L002.clonotypes.TRA.txt,12601
500000530808_S147_L002.clonotypes.TRA.txt,13110
050002020808_S115_L002.clonotypes.TRA.txt,13217
370000570808_S110_L002.clonotypes.TRA.txt,16298
500001270808_S163_L002.clonotypes.TRA.txt,17333
330000410808_S109_L002.clonotypes.TRA.txt,22387
410004360808_S119_L002.clonotypes.TRA.txt,18719
460001010808_S167_L002.clonotypes.TRA.txt,18380
460001200808_S176_L002.clonotypes.TRA.txt,19305
050000810808_S66_L001.clonotypes.TRA.txt,21418
340002510808_S180_L002.clonotypes.TRA.txt,20899
050002130808_S46_L001.clonotypes.TRA.txt,3084
270000050808_S111_L002.clonotypes.TRA.txt,23794
050000200808_S157_L002.clonotypes.TRA.txt,24748
240101640808_S135_L002.clonotypes.TRA.txt,25364
050002030808_S38_L001.clonotypes.TRA.txt,3340
440000040808_S191_L002.clonotypes.TRA.txt,26572
690000090808_S154_L002.clonotypes.TRA.txt,26722
020003890808_S67_L001.clonotypes.TRA.txt,28247
690002080808_S58_L001.clonotypes.TRA.txt,25913
540002570808_S121_L002.clonotypes.TRA.txt,28865
330000950808_S132_L002.clonotypes.TRA.txt,28250
540002830808_S9_L001.clonotypes.TRA.txt,27045
460001030808_S152_L002.clonotypes.TRA.txt,9761
330001280808_S92_L001.clonotypes.TRA.txt,29023
690001370808_S32_L001.clonotypes.TRA.txt,22031
360001390808_S117_L002.clonotypes.TRA.txt,10989
270000140808_S174_L002.clonotypes.TRA.txt,33883
370000580808_S118_L002.clonotypes.TRA.txt,13400
540002650808_S169_L002.clonotypes.TRA.txt,39157
500000570808_S42_L001.clonotypes.TRA.txt,16456
500001010808_S178_L002.clonotypes.TRA.txt,35931
020000360808_S102_L002.clonotypes.TRA.txt,37801
360001560808_S165_L002.clonotypes.TRA.txt,27375
050001720808_S75_L001.clonotypes.TRA.txt,35260
330002090808_S89_L001.clonotypes.TRA.txt,21850
540002870808_S17_L001.clonotypes.TRA.txt,12625
300000710808_S124_L002.clonotypes.TRA.txt,40088
440000960808_S80_L001.clonotypes.TRA.txt,19210
330000580808_S125_L002.clonotypes.TRA.txt,19813
020000700808_S134_L002.clonotypes.TRA.txt,42638
270001070808_S158_L002.clonotypes.TRA.txt,24508
540002660808_S177_L002.clonotypes.TRA.txt,9611
050000970808_S55_L001.clonotypes.TRA.txt,19910
540002980808_S25_L001.clonotypes.TRA.txt,3233
500001360808_S131_L002.clonotypes.TRA.txt,22687
050000230808_S160_L002.clonotypes.TRA.txt,20124
540003340808_S73_L001.clonotypes.TRA.txt,24311
330001080808_S148_L002.clonotypes.TRA.txt,26834
050002070808_S58_L001.clonotypes.TRA.txt,20521
020000190808_S27_L001.clonotypes.TRA.txt,38473
330001710808_S177_L002.clonotypes.TRA.txt,16199
270000060808_S119_L002.clonotypes.TRA.txt,24173
440001090808_S88_L001.clonotypes.TRA.txt,5854
270001050808_S23_L001.clonotypes.TRA.txt,26529
460001050808_S175_L002.clonotypes.TRA.txt,19552
690000120808_S50_L001.clonotypes.TRA.txt,24011
690001620808_S40_L001.clonotypes.TRA.txt,17390
500001140808_S71_L001.clonotypes.TRA.txt,13454
360001400808_S125_L002.clonotypes.TRA.txt,17540
270000010808_S182_L002.clonotypes.TRA.txt,27519
020000110808_S14_L001.clonotypes.TRA.txt,23208
540002670808_S185_L002.clonotypes.TRA.txt,13267
330002360808_S154_L002.clonotypes.TRA.txt,14690
050001870808_S147_L002.clonotypes.TRA.txt,19855
460001480808_S151_L002.clonotypes.TRA.txt,32689
270000190808_S52_L001.clonotypes.TRA.txt,21154
540003020808_S33_L001.clonotypes.TRA.txt,12823
500000580808_S93_L001.clonotypes.TRA.txt,22059
020003900808_S43_L001.clonotypes.TRA.txt,32699
020000390808_S189_L002.clonotypes.TRA.txt,28387
340002530808_S172_L002.clonotypes.TRA.txt,42068
360001680808_S149_L002.clonotypes.TRA.txt,23856
500001380808_S187_L002.clonotypes.TRA.txt,12691
050000990808_S40_L001.clonotypes.TRA.txt,18780
330000960808_S141_L002.clonotypes.TRA.txt,30180
440000860808_S47_L001.clonotypes.TRA.txt,43473
540003220808_S49_L001.clonotypes.TRA.txt,9493
050001890808_S86_L001.clonotypes.TRA.txt,13246
690001050808_S122_L002.clonotypes.TRA.txt,15563
440000310808_S151_L002.clonotypes.TRA.txt,62555
460000690808_S168_L002.clonotypes.TRA.txt,18268
270001180808_S76_L001.clonotypes.TRA.txt,22839
460001060808_S183_L002.clonotypes.TRA.txt,16338
330001110808_S156_L002.clonotypes.TRA.txt,19755
400000290808_S134_L002.clonotypes.TRA.txt,64414
020003020808_S91_L001.clonotypes.TRA.txt,25957
270001190808_S22_L001.clonotypes.TRA.txt,28634
230002190808_S163_L002.clonotypes.TRA.txt,22407
270000200808_S44_L001.clonotypes.TRA.txt,13853
440000110808_S120_L002.clonotypes.TRA.txt,41501
050000240808_S85_L001.clonotypes.TRA.txt,26376
020000710808_S15_L001.clonotypes.TRA.txt,14756
690001060808_S162_L002.clonotypes.TRA.txt,6859
300000920808_S132_L002.clonotypes.TRA.txt,31552
270000020808_S12_L001.clonotypes.TRA.txt,22464
540003460808_S81_L001.clonotypes.TRA.txt,28674
270001310808_S165_L002.clonotypes.TRA.txt,8913
540002680808_S98_L002.clonotypes.TRA.txt,21352
340002540808_S188_L002.clonotypes.TRA.txt,15856
330000980808_S188_L002.clonotypes.TRA.txt,15039
330002370808_S162_L002.clonotypes.TRA.txt,20938
400000130808_S158_L002.clonotypes.TRA.txt,40074
330001730808_S178_L002.clonotypes.TRA.txt,30879
500000910808_S186_L002.clonotypes.TRA.txt,21025
330000670808_S24_L001.clonotypes.TRA.txt,36827
500001390808_S171_L002.clonotypes.TRA.txt,15346
330001250808_S56_L001.clonotypes.TRA.txt,16637
050001920808_S78_L001.clonotypes.TRA.txt,18604
690001790808_S29_L001.clonotypes.TRA.txt,28759
240101560808_S127_L002.clonotypes.TRA.txt,11406
460000890808_S128_L002.clonotypes.TRA.txt,13799
540003500808_S89_L001.clonotypes.TRA.txt,7443
020000200808_S181_L002.clonotypes.TRA.txt,36650
330001780808_S170_L002.clonotypes.TRA.txt,4890
540003240808_S57_L001.clonotypes.TRA.txt,20232
500001400808_S155_L002.clonotypes.TRA.txt,6678
460001930808_S184_L002.clonotypes.TRA.txt,29830
020004000808_S83_L001.clonotypes.TRA.txt,28515
050001990808_S123_L002.clonotypes.TRA.txt,9041
330000710808_S140_L002.clonotypes.TRA.txt,8586
690001110808_S146_L002.clonotypes.TRA.txt,19217
460001100808_S160_L002.clonotypes.TRA.txt,23218
540002580808_S129_L002.clonotypes.TRA.txt,58077
050001030808_S28_L001.clonotypes.TRA.txt,29959
360001410808_S133_L002.clonotypes.TRA.txt,37024
500001220808_S123_L002.clonotypes.TRA.txt,40535
540003570808_S2_L001.clonotypes.TRA.txt,10740
330001030808_S86_L001.clonotypes.TRA.txt,18353
690001910808_S84_L001.clonotypes.TRA.txt,13771
500002020808_S16_L001.clonotypes.TRA.txt,13049
270000270808_S113_L002.clonotypes.TRA.txt,25623
020000280808_S59_L001.clonotypes.TRA.txt,12392
020004070808_S4_L001.clonotypes.TRA.txt,10302
500001990808_S179_L002.clonotypes.TRA.txt,13063
020000420808_S51_L001.clonotypes.TRA.txt,52056
