sample_name	alpha_diversity_shannon
440000180808	[13.951011126965494]
630001150808	[12.504449117331882]
50001710808	[7.2015920997899565]
670002100808	[12.039104471654186]
730000410808	[1.0]
500001140808	[11.151322152010671]
270001010808	[12.708853436827585]
640001780808	[12.395380907966993]
50001870808	[11.402660566796467]
640003040808	[-0.0]
400000290808	[13.320628422202672]
730001810808	[6.88456850719676]
500001620808	[12.431306056728006]
550002950807	[11.716349880337408]
780004860808	[-0.0]
270000030808	[12.743330808439481]
540002380807	[8.645402405603072]
330001730808	[11.717317864301506]
780005190808	[-0.0]
630001790807	[12.570555978319636]
780005060808	[9.04792636143096]
590004310808	[5.863865899096342]
50003120808	[10.620082592154635]
330000090808	[10.622637421528257]
20000200808	[12.263910772756088]
360001560808	[11.165405584296444]
50001130808	[10.650685563149528]
520003590808	[8.289759416611084]
300000940808	[13.871276920136054]
300000920808	[12.414220996416839]
540002270808	[9.880668240056599]
280001570807	[11.725948312238481]
670004670808	[9.150817202544236]
330002370808	[11.339223980592424]
440000570808	[11.51731635320678]
640002350808	[12.0615385202602]
440001580808	[8.320660173416746]
500000530808	[12.271840954549411]
440001020101	[13.82124285001533]
780005150808	[1.9311187687034967]
500000910808	[10.506984630575033]
20000110808	[10.78448612875147]
500003990808	[-0.0]
250002250808	[6.25828569807676]
210002060808	[10.666927370254232]
640002750808	[12.012486561610231]
630002610807	[12.665177049792764]
20003060808	[10.924473603829263]
590002820808	[-0.0]
780003490808	[8.395326783507164]
630003530808	[9.936281777321746]
730002460808	[10.562652507793532]
690001200808	[10.910220060888898]
20000340808	[10.52452841945718]
330000870808	[12.150497347410319]
270001180808	[9.922987461080822]
440001090808	[9.278538148335826]
500001360808	[12.854870794599332]
340002960808	[10.952451773201668]
780008370808	[9.752447253953976]
50000200808	[11.229340537289497]
640002030808	[11.912424151636307]
640001910808	[12.47282028128668]
340003480808	[10.772006299197631]
780004830808	[9.794020959705787]
50001010808	[7.78677776461128]
520000800808	[-0.0]
210003330808	[3.7345216647797512]
550001680808	[12.904810467097732]
20000640808	[7.544968903431159]
440002110808	[8.372671187099895]
440000960808	[11.29889882475676]
630002350807	[11.468635108874482]
690002180808	[11.159782073957615]
780002130808	[3.9841837197791894]
460002220808	[12.7147833711754]
400000310808	[12.512608650701992]
670004970808	[11.983891648108099]
780004310807	[9.17857980115485]
550002130808	[13.705366558738053]
330002540808	[6.955820116513063]
780005100808	[6.764502558864386]
770102700807	[12.742767359596963]
210001500808	[11.749792163753904]
470001470807	[9.970948402574706]
770101970807	[11.919091305362274]
780004790808	[8.81791068491151]
470002530808	[12.899070020457208]
670001240808	[11.706810977525187]
460001050808	[11.694686776096262]
50001600807	[9.161130916347767]
540003220808	[10.437906612429108]
270000200808	[12.298787278582385]
500001270808	[11.195851497953614]
670004810808	[12.883882813210766]
590002660808	[9.360748408276995]
550001640808	[10.467624188019437]
640001880808	[11.982618592924258]
670005230808	[11.800465078900162]
500004230808	[10.179160930145342]
280002980807	[13.376242505741201]
540002290808	[9.337273852270467]
360001370808	[10.245378924004973]
780004090808	[10.767881577193812]
640002090808	[10.453850524817831]
50000740808	[9.70370687153084]
670002450808	[11.366516492893684]
500001310807	[11.656612521698474]
20003940808	[10.339257158667172]
540003020808	[10.773794710298928]
330001570808	[5.2672109519122206]
330000310807	[11.062124548442068]
640001930808	[11.36715865521215]
50001210808	[10.343455933412338]
330001250808	[11.434214295104256]
270000010808	[12.945706124033084]
780008350808	[11.798015808759997]
690001140808	[9.902380613653753]
210004320808	[12.408591372619696]
540002570808	[11.95672816396122]
640002260808	[13.96050210936685]
330001850808	[10.565982513250693]
670004950808	[10.573944494806707]
360001390808	[10.295777549327076]
770101010807	[12.187765788572401]
730004360808	[10.932449076367856]
640002210808	[13.447767974203229]
210002440808	[11.568480707149327]
330000810808	[11.180230471523439]
670002310808	[4.251629167387824]
780005090808	[7.395032234490955]
470003430807	[10.153750526186982]
640002990808	[13.690168260049477]
230003090807	[13.09003450062321]
630001340808	[10.986213766189188]
730002480808	[9.919341691437117]
550002670808	[12.608320946444714]
730000960808	[12.272844587875136]
330000550808	[11.682960078645742]
630001110808	[11.398347788577452]
270000020808	[12.930967068765163]
630001930808	[12.013101700731195]
640003070808	[13.037064862293551]
230003020807	[12.798657451930774]
500004180808	[-0.0]
210001780808	[12.985092359189988]
440003140808	[10.532893466013217]
440000240808	[-0.0]
670005410808	[11.839651583549765]
640002040808	[13.16977234292185]
730003390808	[5.828055907333273]
780001140807	[10.812181862176931]
460001300808	[11.09244971520443]
20003190808	[12.37135519978733]
670005460808	[6.346245626343139]
730002430808	[10.939715578299742]
640003570808	[12.989578584747907]
540002120807	[9.074047580861093]
780008460808	[11.676405989684902]
210003370808	[10.58633162956107]
630001580807	[10.637687860919021]
670005610808	[12.125485841730116]
500003920808	[11.382482011804905]
540003090808	[7.591865368362738]
780001940807	[9.818500583672762]
210003320808	[8.220784043451186]
500001380808	[10.805374861878049]
330001940808	[7.308404315876252]
230002180807	[11.79864110162603]
460000850808	[8.770974127080787]
670005340808	[11.744628055166013]
330000100807	[11.392431331376066]
330000730808	[11.879686819352093]
330001390807	[10.05619945025244]
640002310808	[12.858261554876783]
290002630808	[12.331349800969349]
270000100807	[12.752124336392672]
460001930808	[10.970409367609118]
550002650808	[10.878707205589025]
640002690808	[12.847523337275447]
500001010808	[13.210918655353701]
500000410808	[11.424236301577974]
370000570808	[10.33300284422901]
780005290808	[11.123482666100202]
50000730808	[8.201114776116837]
440002510808	[13.982091970200136]
440000330808	[6.312103902031902]
330001580808	[9.85442611497019]
270000050808	[11.310637482312314]
540002140808	[9.585756595216907]
50001830808	[8.68747324543736]
270000090808	[13.451554797095053]
20003830808	[4.614857540029795]
730002210808	[12.12987275258323]
50000600808	[7.713208449127821]
690000100807	[10.142114750876624]
640002920808	[12.3320716101471]
50001520807	[8.805335762856602]
260002880808	[8.522414677382526]
670004940808	[11.955769877757536]
670007900808	[10.208627633172094]
630001510808	[9.235689637714417]
550001010808	[12.438628238515788]
210002850808	[11.85994784313986]
670002240808	[12.671943842881646]
330002700808	[8.943272637513642]
210000150808	[5.558545931141184]
50000320808	[9.834731186894606]
670004730808	[11.923835830999419]
290002570808	[13.43513668170282]
640000470808	[11.640748356688578]
500001250808	[10.253261887350758]
640002670808	[12.992905274702016]
270000620808	[11.258389773329487]
520002210808	[9.630147910644816]
460000180808	[10.789514854769221]
540002740807	[8.79459744550284]
780004990808	[10.723718818813062]
670004700808	[11.516423413297044]
460001060808	[10.809900028901057]
330000500808	[11.61503835887982]
670005490808	[11.853962147461658]
770101520808	[13.00748321391008]
270001190808	[13.432717580499915]
640003490808	[11.58077210277151]
230002070807	[8.733527725815355]
330000600808	[11.17067598484047]
670004720808	[12.127499018087923]
50001290808	[9.47573729922763]
780004820808	[10.819949469037315]
330000750808	[12.576028958766715]
20003900808	[11.795722109861188]
540002680808	[11.335618718427135]
330000380808	[10.736427461368178]
500000930808	[4.343388432714782]
20004130808	[10.928460413977046]
550001850808	[12.275242010209881]
460002050808	[12.962822053180275]
470001410807	[12.225400760315612]
550003260808	[12.112368989350307]
910003810808	[8.883597706535465]
780008250807	[7.7013826633204046]
330000950808	[11.18503327001432]
230002080807	[12.42150736953067]
780005230808	[9.151700515469564]
780005110808	[6.204192080142202]
330001110808	[10.170234273467807]
500000860808	[13.65335939998105]
470001430807	[11.308720938453943]
540002760807	[13.08738282560586]
590002160808	[6.434647545730479]
500003890808	[9.010959374819704]
730001190808	[11.603928475088876]
780004930808	[7.933985772956344]
50001990808	[10.265181105116035]
260001970807	[9.451304013350045]
670005000808	[6.4530228475821305]
670005080808	[11.734640576256547]
630000880808	[12.680059246590778]
630001250808	[12.103970425302137]
670005390808	[7.698385578556844]
730003500808	[9.521945416417147]
780002150808	[9.700493458977952]
630001070807	[11.402332071181188]
670005370808	[12.093742598064885]
50002130808	[9.32928527273395]
690001770808	[11.57038609386555]
50001750808	[10.453246480443228]
540002490807	[13.175901504430001]
590003800808	[10.37940523090226]
670005530808	[10.257004180739045]
640002220808	[13.30547821642631]
330000660808	[10.81085001274695]
50000630808	[9.101115605521164]
440000530808	[14.435449596042009]
330000510808	[12.482277276931256]
