sample_name	alpha_diversity_shannon
KH20-09976	[11.968913008569881]
550044028	[16.478946818670444]
860011242	[16.639728710354227]
1024	[13.225941412951611]
INCOV045-BL-3	[18.69140773964157]
712387BW	[18.37568684461186]
KH20-09696	[16.302852877473107]
BS-GIGI_49-replacement	[14.422947593055152]
860011211	[16.737476687201685]
550043940	[16.4833508931774]
BS-HS-219	[14.60851327887436]
ADIRP0002576	[17.82899457973289]
1129-LVM-668	[13.9198464666497]
KH20-11299	[15.403674911488258]
KH20-09723	[15.57463910309668]
ADIRP0002668	[16.245228340259327]
KH20-11684	[17.427881667483913]
1011-BE-471	[14.937095652052404]
BS-GIGI_85-replacement	[14.772270121125146]
860011328	[14.854197119347695]
550042567	[10.856280946147477]
INCOV050-BL-3	[16.408863537869067]
KH20-09709	[13.8856414013843]
KH20-11671	[11.514125539798078]
550042377	[15.760789394909372]
BS-HS-0188	[14.637111480833038]
550043156	[8.457343843710538]
KHBR20-00104	[17.638534797377307]
BS-HS-15	[11.251801419308848]
860011125	[7.2707405403071]
INCOV029-AC-3	[16.22400765181776]
BS-EQ-16-T2-replacement	[15.502640726121967]
INCOV005-CV-3	[15.58825676688842]
KH20-09983	[8.85868129986005]
860011351	[17.7168631772933]
1321-CF-243	[13.457834932357985]
KH20-11306	[12.349457471576748]
KHBR20-00188	[13.381899052149127]
KHBR20-00157	[14.327627551982225]
ADIRP0002436	[15.703511025684755]
INCOV081-AC-3	[19.15574199157195]
BS-HS-46	[14.72593022395122]
ADIRP0001207	[15.906120889059167]
860011124	[14.702615445352842]
ADIRP0002464	[15.708692554494116]
KHBR20-00105	[15.969071133494841]
INCOV024-CV-3	[16.41010172633414]
KH20-11670	[11.51744875037881]
860011303	[15.667196805675477]
ADIRP0000923	[17.184697149368148]
KH20-09708	[13.681741424873433]
BS-HS-47	[13.672657258008071]
BS-EQ-18-T1-replacement	[12.821659017711696]
KHBR20-00156	[14.318504725402665]
BS-EQ-10-T2-replacement	[15.261484451859666]
