sample_name	alpha_diversity_shannon
ADIRP0000252	[15.289539169189295]
860011350	[13.899597287532872]
KH20-09982	[16.002910261753094]
KH20-11307	[10.945199859534915]
KH20-09697	[11.910518609076098]
ADIRP0001865	[18.912119526064064]
1025	[6.897122381116087]
989003BW	[17.80751157676111]
BS-EQ-14-T3-replacement	[15.781668865615853]
860011243	[14.557890873853928]
550043912	[15.52844262316102]
BS-HS-155	[14.465973149050594]
ADIRP0000341	[14.849465729320391]
INCOV071-BL-3	[12.641676232596858]
KH20-09977	[16.40458206982744]
550044029	[13.028930099201835]
INCOV022-AC-3	[17.07967263398196]
BS-GIGI_48-replacement	[16.238926542157802]
KH20-11685	[15.428289988178733]
860011329	[6.074176949647832]
KH20-09722	[10.333395294982884]
ADIRP0002392	[17.024536672304443]
KH20-11298	[12.814630420357586]
BS-HS-218	[7.28564159491453]
BS-HS-106	[12.942870193845538]
860011210	[16.13638558869216]
BS-GIGI_84-replacement	[15.388287906617908]
INCOV014-BL-5	[14.659989347257364]
BS-EQ-12-T2-replacement	[13.862709224642739]
INCOV064-BL-3	[15.507581057679856]
INCOV033-BL-3	[8.285402388098753]
ADIRP0001289	[16.644229928777357]
860011451	[11.261991699067938]
KH20-11305	[16.26224875310092]
KH20-09980	[12.720085106110941]
860011352	[14.29165526755085]
KH20-09660	[13.650396561542204]
BS-EQ-0001-T1-replacement	[12.561966372623992]
ADIRP0001555	[17.068587531140256]
BS-EQ-0009-T2-replacement	[12.020334614590807]
KHBR20-00154	[10.661950689567842]
INCOV005-AC-5	[15.982588382957452]
INCOV075-AC-3	[16.56245066073873]
INCOV026-BL-3	[18.237107360462435]
KHBR20-00107	[13.79684665402625]
ADIRP0000439	[15.599725789767922]
INCOV060-AC-3	[15.142837448260474]
KH20-11672	[16.101919413579484]
860011238	[15.204213864037246]
2402BW	[12.726348250175915]
860011126	[15.208749926751558]
BS-HS-16	[15.733894381827922]
BS-EQ-0003-T1-replacement	[17.075311083712304]
KH20-11658	[16.968151777171254]
860011212	[16.638898530487968]
550043943	[9.162378329043777]
KH20-09720	[10.813627956406519]
ADIRP0000137	[14.527322997045149]
KH20-11687	[15.607037294523348]
BS-GIGI_79-replacement	[14.99696333519919]
BS-GN-01-T0-replacement	[13.663288926207628]
KH20-09975	[16.815536794874028]
550041173	[16.169866925054187]
550043936-1	[18.023676120144522]
BS-HS-157	[12.719071958870497]
860011241	[14.319352795490337]
ADIRP0002002	[18.233620464448716]
KHBR20-00098	[13.399133276211485]
1027	[17.202960556082044]
KH20-09695	[13.748677265638523]
BS-GIGI_86-replacement	[6.5863963749549885]
KH20-11686	[16.139051153328783]
KH20-09721	[16.137005654759896]
860011213	[10.46667298649656]
KH20-11659	[13.508472749434306]
KH20-09694	[16.924569596963174]
BS-GIGI_78-replacement	[15.419048861256016]
BS-HS-189	[10.250396947387872]
1026	[14.184358834554237]
999-BG-353	[15.082927489000356]
INCOV085-BL-3	[17.760522355333766]
KHBR20-00099	[18.10167819192657]
ADIRP0000342	[16.74270703245338]
ADIRP0001786	[16.42887158640051]
BS-HS-156	[14.201258258672903]
860011240	[14.865556464946241]
ADIRP0001163	[17.594254379972398]
550043911	[10.967225478066219]
BS-EQ-12-T1-replacement	[11.196097537510138]
5115BW	[8.517814464794444]
KH20-09974	[14.967383198201867]
970-FS-1034	[11.425542668740478]
BS-GIGI_87-replacement	[12.90423313584439]
INCOV038-BL-3	[17.932238627035627]
ADIRP0001893	[16.68705926142709]
BS-HS-44	[14.234827878584616]
550044000	[17.23630563145715]
KH20-09661	[14.45520968244672]
ADIRP0000190	[16.7535289761535]
KH20-11304	[15.352827763714421]
860011353	[15.392075997049398]
ADIRP0001070	[16.67791523004474]
KH20-09981	[16.4761864456797]
ADIRP0000895	[15.464376779966885]
ADIRP0000251	[17.330251524954047]
860011450	[9.637756453696186]
INCOV041-AC-3	[17.846600194541796]
860011127	[13.938791062538352]
BS-HS-17	[13.187321194841436]
ADIRP0002581	[17.373671551246694]
860011239	[14.507369960243134]
BS-EQ-10-T1-replacement	[12.549225674494968]
KH20-11673	[16.015304460241786]
KHBR20-00106	[13.539280736671008]
BS-EQ-18-T2-replacement	[15.54620531363021]
KH20-11809	[6.762951509241142]
1023	[12.564065862288643]
INCOV047-AC-3	[17.84816008758848]
KH20-09691	[15.177688913759694]
KH20-09971	[16.840120659316455]
ADIRP0002705	[16.316053224075375]
ADIRP0001278	[15.823575329410888]
ADIRP0000347	[15.530648822148358]
550043914	[16.082600748951435]
860011245	[14.058925718171654]
KH20-09724	[12.221562199998521]
KH20-11683	[6.645301997484435]
ADIRP0002497	[18.600451812109497]
INCOV052-AC-3	[16.864930694893342]
1566265BW	[16.746381966630157]
KHBR20-00129	[18.092546017075904]
ADIRP0000709	[17.551597621801864]
BS-HS-100	[15.14783406403159]
860011216	[10.771627915811194]
BS-HS-38	[14.890436263677557]
860011108	[12.63640343813983]
KH20-11676	[17.261960797447685]
A-S-replacement	[16.192318055445728]
KHBR20-00103	[15.775680689476816]
BS-HS-12	[13.845909494005236]
860011122	[17.011438693662953]
860011305	[14.208571439686539]
KHBR20-00150	[12.764706075964874]
ADIR0000021	[17.885430472029547]
BS-GIGI_28-replacement	[10.236168626704012]
KH20-09664	[13.096903520566777]
INCOV083-BL-3	[16.501355058437614]
BS-HS-41	[15.949340636716036]
550042420	[5.956055697625204]
110047542	[13.302796594783873]
BS-GIGI_82-replacement	[11.322337383056677]
1009	[13.527061545775544]
KH20-09984	[13.95940089790512]
860011356	[14.399561578630781]
INCOV078-AC-3	[18.391558537314076]
550042607	[8.431773020138797]
KH20-11301	[15.873074351345927]
860011304	[16.10290386943177]
INCOV059-AC-3	[16.184472165544037]
860011123	[5.176792978833195]
ADIRP0001922	[17.875762200140713]
KHBR20-00102	[15.352204801776189]
KH20-11677	[8.406102127273074]
550040030	[13.68751503387623]
BS-GIGI_29-replacement	[13.613370738974977]
860011357	[9.34794163021875]
KH20-09985	[14.846599787487355]
KH20-11300	[16.994098426723912]
1008	[15.90871301051807]
BS-GIGI_83-replacement	[10.142172307229965]
ADIRP0001253	[17.882678509469123]
BS-HS-40	[10.102229543598273]
860011388	[16.17018770791104]
KH20-09665	[13.421263226233899]
KHBR20-00151	[16.676946817236864]
860011244	[8.371915515378095]
INCOV003-AC-5	[17.803581182116922]
1337122BW	[16.51959403665036]
INCOV073-AC-3	[16.7360510729886]
KH20-09970	[14.306344502126644]
KH20-09690	[14.97149748314564]
INCOV035-BL-3	[15.690359998947164]
1022	[7.996348767918346]
KH20-11808	[8.412471365938055]
BS-HS-39	[15.80604711587381]
860011109	[14.121628073311868]
860011217	[16.134334726296654]
550041125	[15.176953799071333]
ADIRP0000837	[16.437912747360507]
INCOV066-AC-3	[10.800654658879838]
INCOV016-AC-5	[14.38316080212989]
KHBR20-00128	[16.468793496786095]
ADIR0000086	[16.897245227727836]
KH20-11682	[16.02117584975836]
KH20-09725	[15.93747908750027]
KH20-09667	[13.624852629900225]
KH20-09958	[17.100506402312917]
KHBR20-00153	[15.579423318883322]
ADIRP0001895	[17.21690321589152]
860011489	[8.561665593943628]
INCOV077-BL-3	[16.626794622820466]
INCOV007-BL-5	[16.55631526856306]
INCOV031-AC-3	[15.990239187847841]
ADIRP0000975	[17.36209419982201]
KH20-11302	[16.1752051185211]
KH20-09987	[7.644762511053104]
860011355	[13.145605230863085]
KHBR20-00100	[17.500919282350598]
BS-GIGI_18-replacement	[14.890528345046272]
ADIRP0001920	[18.06843549605861]
INCOV062-BL-3	[13.434782904837768]
KH20-11675	[15.457602829151977]
ADIRP0000023	[17.31424924689537]
BS-HS-129	[14.490024359786721]
860011121	[18.549996567695075]
ADIRP0001202	[17.92148742369867]
ADIRP0001726	[17.289295857441683]
1059	[8.2669555516373]
1566779BW	[15.223487622372597]
BS-GIGI_81-replacement	[13.76978558851953]
860011306	[9.95975872105256]
INCOV024-AC-3	[16.41142760050681]
KH20-09727	[11.675479275174453]
3977BW	[17.025170627458085]
4730BW	[17.692394326147156]
ADIRP0001311	[17.469960806918316]
BS-HS-0179	[7.617020488766039]
BS-EQ-38-T1_BS-GIGI-117-replacement	[15.984362717620654]
234129BW	[16.191018986643986]
KH20-11680	[17.427068023873474]
1022-BB-365	[9.134812705905878]
INCOV022-CV-3	[14.703612606039504]
1568094BW	[16.612142058792667]
860011215	[15.078099091835885]
1020	[14.286099689197398]
KH20-09692	[17.077501179864996]
INCOV048-BL-3	[15.371859795925847]
KHBR20-00179	[5.2157144086957175]
KH20-09972	[16.958797151159686]
ADIRP0000447	[17.28904306715342]
860011246	[13.988502487737671]
860011214	[14.665463265473573]
BS-HS-0178	[16.40176626658949]
KH20-11681	[10.76778785021626]
INCOV016-CV-3	[14.408910868200001]
INCOV069-BL-3	[11.464673403681216]
INCOV019-BL-5	[15.592998628641098]
KH20-09726	[17.419179386967166]
550043916	[16.308771812026755]
1469-CA-823	[14.134785049112159]
KH20-09973	[17.266398994896218]
ADIRP0001958	[16.902153389767093]
KHBR20-00178	[9.891089375765961]
KH20-09693	[15.522193486636082]
550041451	[8.062769119680635]
ADIRP0000499	[15.230696558147955]
1021	[7.446479641963778]
ADIRP0002520	[17.797218492127538]
KH20-11303	[13.018438581493111]
860011354	[14.882863085190463]
KH20-09986	[16.66280610659399]
978-NA-155	[13.466013187611143]
BS-EQ-0011-T1-replacement	[12.337084440362553]
ADIRP0000555	[13.050834313251238]
INCOV043-BL-3	[14.641853975796458]
BS-HS-43	[14.425766201421155]
P0008111	[16.059619262741776]
860011488	[18.855483217225924]
ADIRP0002433	[17.016152874564877]
KHBR20-00152	[16.456516379930484]
ADIRP0000289	[18.833215151258855]
KH20-09666	[15.672224550882435]
KH20-09959	[16.599636067357867]
BS-GIGI_19-replacement	[13.723554249556885]
INCOV056-BL-3	[18.197833336541002]
1058	[13.29279050960927]
BS-GN-13-T0-replacement	[13.781350107051024]
ADIRP0000618	[18.982785752635195]
860011120	[15.628770165795952]
BS-HS-10	[16.729343347568374]
BS-GIGI_80-replacement	[14.276259293224282]
BS-HS-128	[14.412117025743962]
KH20-11674	[14.740518717146486]
BS-EQ-0017-T0-replacement	[14.884454732790099]
1471-CS-155	[13.787602618964296]
INCOV070-BL-3	[15.785128492545148]
KHBR20-00120	[13.94058543981593]
1569039BW	[16.84831862693956]
KH20-11655	[17.240030911707837]
BS-EQ-32-T1-replacement	[16.915211852363612]
1566984BW	[15.43560681501428]
BS-EQ-44-T0_BS-GIGI_11-replacement	[8.284329142495046]
BS-HS-109	[13.206569931616432]
BS-HS-31	[11.29056086128425]
BS-HS-217	[11.851533430712434]
KH20-11297	[15.799683862276597]
BS-HS-0173	[14.463290683060922]
860011326	[15.998080827225131]
INCOV036-AC-3	[16.19766524427467]
KH20-09978	[13.885511384411954]
KHBR20-00173	[13.18111794531703]
KHBR20-00095	[10.656288158570232]
INCOV015-BL-5	[13.11584602927223]
BS-HS-62	[8.861792210407215]
BS-HS-185	[13.294433654798647]
550042239	[15.958760711856623]
BS-EQ-34-T0-replacement	[14.597558300245172]
994-CR-660	[11.190531676199173]
INCOV023-AC-3	[17.635905648728727]
BS-EQ-41-T0-replacement	[15.951673827811836]
BS-EQ-0023-T0-replacement	[14.793476065465619]
KH20-09698	[11.188049356389008]
BS-HS-97	[11.017239321026318]
2987BW	[15.772280192029683]
KH20-09754	[17.856094564082113]
KHBR20-00186	[15.97077832818605]
ADIRP0000899	[18.017135964927483]
BS-EQ-38-T2-replacement	[15.347494177200424]
KH20-09952	[12.034659914730755]
BS-EQ-30-T1-replacement	[17.281329477528885]
ADIRP0001145	[16.876868040459915]
BS-EQ-0027-T1-replacement	[14.066308711260975]
BS-HS-48	[15.055627855134478]
KH20-09707	[17.84868626516431]
1053	[16.74263389585368]
BS-EQ-36-T0-replacement	[16.142546858345625]
BS-EQ-43-T0-replacement	[14.172020332733748]
BS-EQ-0021-T0-replacement	[14.479194522583724]
BS-GIGI_46-replacement	[13.84111166662935]
BS-GIGI_75-replacement	[17.257073269826815]
BS-GIGI_13-replacement	[15.406277591999958]
BS-HS-123	[12.317701889984347]
BS-GIGI_20-replacement	[10.900078514000054]
860011235	[14.073335491171823]
BS-HS-171	[17.033972478486135]
KH20-09953	[16.867242982618972]
INCOV028-AC-3	[14.454974431651975]
KHBR20-00158	[13.030239059904412]
1001	[13.140890208985306]
KH20-09755	[16.331324464889747]
BS-HS-96	[14.567239684666587]
ADIRP0001841	[16.550443147903728]
860011234	[10.993528747452514]
BS-EQ-36-T1-replacement	[16.355327498755376]
INCOV080-AC-3	[12.729225941809322]
BS-GIGI_47-replacement	[12.89570028415143]
550042542	[17.552498593755168]
BS-GIGI_74-replacement	[15.29145590686856]
KH20-09706	[17.62901987845882]
1052	[11.376311251582855]
BS-GIGI_21-replacement	[10.727814745231532]
INCOV044-BL-3	[17.358528720027774]
BS-HS-0172	[14.854454619705368]
860011327	[8.188500536643105]
KH20-11296	[17.20149341997414]
ADIRP0002082	[17.599729971940004]
BS-HS-216	[17.05686001249021]
550042451	[17.38751072537981]
BS-HS-30	[13.675314068140766]
ADIRP0002343	[16.52795645129735]
KH20-11654	[17.76053458293959]
1127-BA-739	[11.016458737188321]
KHBR20-00121	[12.553074443798797]
KH20-09699	[17.188033248272355]
ADIRP0001349	[17.680327602896188]
INCOV051-BL-3	[16.82704508669713]
BS-EQ-41-T1-replacement	[16.59166343847072]
KHBR20-00094	[15.401350484375916]
BS-HS-63	[13.059133378693986]
BS-EQ-34-T1-replacement	[14.184238178875276]
ADIRP0000752	[17.750230913048608]
KHBR20-00172	[15.764147563920066]
KH20-09979	[11.596799988657338]
1050	[7.541903413227479]
KH20-09704	[14.918897938160097]
INCOV040-AC-3	[13.587430059412357]
KHBR20-00109	[16.483470200644554]
BS-EQ-30-T2-replacement	[16.99659293395767]
ADIRP0001929	[14.893612530195247]
ADRIP00000961	[16.04697219268928]
860011236	[13.782949701152301]
BS-EQ-0027-T2-replacement	[13.942140254011335]
BS-HS-120	[15.105804872585482]
860011128	[17.04187828805089]
BS-HS-18	[12.342823371349475]
550042210	[17.55326805342568]
1003	[9.307221473883969]
BS-GIGI_89-replacement	[13.615551689350298]
BS-GN-0016-T0-replacement	[16.768335972735496]
KHBR20-00185	[16.144931027312534]
BS-GIGI_76-replacement	[16.112447070124468]
860011383	[11.825437046114224]
KH20-09951	[16.732219122671903]
5386BW	[16.792632074759847]
BS-GIGI_45-replacement	[13.310161334967642]
BS-GIGI_23-replacement	[13.142531818155755]
BS-GIGI_10-replacement	[13.005587839729623]
ADIRP0001950	[13.59155637423717]
KHBR20-00170	[16.12163062063549]
550042400	[12.31522081181031]
BS-HS-61	[12.793789715706504]
KHBR20-00096	[15.918909572983583]
ADIRP0001869	[14.950914309301911]
ADIRP0000392	[16.05642697017456]
BS-HS-186	[13.612585272917077]
1029	[11.846056570397984]
860011290	[16.828247842691223]
1568100BW	[17.564323514388732]
KH20-11656	[17.29558396865965]
KHBR20-00123	[16.32404257271146]
ADIRP0001903	[17.715240459744535]
INCOV084-BL-3	[16.29338843523256]
ADIRP0001221	[18.74225071371939]
INCOV039-BL-3	[17.939772920823337]
BS-HS-214	[15.84740100108071]
1123-FA-1127	[8.149448769520701]
KH20-11294	[15.204869093958658]
BS-GN-0014-T0-replacement	[16.173100473604553]
BS-HS-0170	[14.025645850615245]
860011325	[15.24534126361799]
KH20-11689	[17.03016720323844]
860011377	[12.387068855868788]
BS-HS-187	[14.381746098723301]
681365BW	[17.038461790693596]
BS-GN-0012-T0-replacement	[12.321708337314206]
1028	[14.335428522768405]
BS-HS-60	[15.221689751293214]
KHBR20-00097	[17.626224973679204]
BS-HS-158	[15.13664670032293]
ADIRP0000052	[17.724741433376305]
KHBR20-00171	[15.359757548073794]
860011324	[14.990664740692948]
KH20-11688	[16.298112125651492]
ADIRP0002279	[17.92891613591799]
1566426BW	[17.608525325947326]
KH20-11295	[15.10597194061786]
ADIRP0002340	[17.92828031155682]
BS-HS-215	[14.386694825312466]
KHBR20-00122	[16.872105089399692]
KH20-11657	[14.505264015688477]
550042351	[14.268952040534309]
860011129	[14.714362144824216]
550042183	[10.319983062032119]
860011237	[8.104973972965542]
BS-HS-121	[10.175429282013184]
INCOV004-AC-5	[12.0912376690746]
INCOV074-AC-3	[17.204603735120703]
KHBR20-00108	[14.970727949594552]
550041421	[9.620152692194589]
INCOV032-BL-3	[13.051525595388554]
BS-EQ-38-T0-replacement	[13.823847248704826]
1051	[18.72181812717457]
KH20-09705	[15.293606798343315]
BS-GN-0010-T0-replacement	[13.311190662668483]
BS-EQ-43-T2-replacement	[15.714418885813094]
INCOV061-AC-3	[16.087725615952014]
860011264	[14.544104660014424]
INCOV011-AC-5	[15.854446849573634]
BS-GIGI_88-replacement	[14.287984114588303]
KH20-09950	[18.237533343358404]
860011382	[16.171699427180968]
BS-GIGI_77-replacement	[13.261429320493082]
550042933	[11.45489866309451]
ADIRP0000141	[17.211388666141385]
BS-GIGI_44-replacement	[13.502931321479624]
KHBR20-00184	[17.513349802830845]
BS-GIGI_22-replacement	[10.675980513669488]
BS-GIGI_11-replacement	[8.437299722335803]
1002	[16.509534438744033]
INCOV027-BL-3	[16.87284021910531]
ADIRP0001463	[18.947500957389394]
860011321	[10.644567775481992]
BS-HS-0174	[11.818826817337133]
ADIRP0002499	[15.616891330880676]
INCOV034-BL-3	[13.340435212099726]
INCOV002-AC-5	[16.794722749025762]
INCOV072-AC-3	[12.673131073020146]
KHBR20-00127	[17.14350373508595]
KH20-11652	[16.248302565769627]
860011218	[16.31301797567409]
BS-HS-36	[17.29493710928286]
BS-HS-210	[15.634553813647766]
860011106	[17.530836222529956]
KH20-11807	[15.342576929166]
BS-HS-182	[14.48808479801298]
BS-GIGI_14-replacement	[15.07968662613599]
KHBR20-00174	[18.059971427281194]
BS-GIGI_27-replacement	[16.14266165975202]
KHBR20-00092	[17.198948101462246]
BS-GIGI_41-replacement	[9.983248580041808]
INCOV067-AC-3	[-0.0]
INCOV017-AC-5	[15.0641635839367]
BS-HS-65	[12.33934043258618]
ADIRP0000057	[18.714781663927624]
BS-GIGI_72-replacement	[15.007303098163899]
860011387	[16.174302576639764]
KH20-09955	[14.137610779876832]
INCOV058-AC-3	[6.69624006016857]
BS-GN-0008-T0-replacement	[7.7159852813634995]
860011261	[17.710764891557265]
550041374	[12.955000972291158]
1007	[11.831462063250338]
KH20-09753	[16.98219316927474]
860011358	[14.304785376263283]
1445BW	[16.21007253146682]
550042609	[16.79835491763029]
KHBR20-00181	[16.338791829520453]
KH20-11678	[16.287893793268612]
860011232	[11.558964792563456]
KH20-09700	[11.967730630289429]
1054	[17.588340717949514]
BS-EQ-26-T1-replacement	[16.616682854297178]
ADIRP0000117	[17.837387492888684]
550041293	[10.52522943680411]
KHBR20-00180	[13.085365272656045]
860011359	[11.900441851939174]
1006	[11.121585338184351]
KH20-09752	[7.221930291977566]
BS-EQ-28-T2-replacement	[16.14214337159553]
ADIRP0000362	[17.80177149044162]
860011260	[17.720484649124316]
KH20-09954	[16.689740493667678]
INCOV079-AC-3	[17.08221562950017]
KH20-09701	[12.593239514483654]
1055	[13.749652465695492]
BS-HS-125	[15.57306804935377]
860011233	[11.684688686738683]
ADIRP0001110	[18.232198847339507]
KH20-11679	[17.2325103717869]
INCOV082-BL-3	[17.003383723750982]
860011107	[14.438997702069221]
860011219	[16.252392745144494]
KH20-11653	[15.815291864339713]
550040014	[11.81768479813114]
KHBR20-00126	[16.196260680361505]
ADIRP0002498	[17.223452797556064]
860011320	[8.544932045521668]
BS-HS-0175	[15.353130029296192]
476909BW	[14.359430073857535]
1566837BW	[16.819408608244974]
KH20-11291	[15.412892442270142]
1566829BW	[16.59369072733142]
550043997	[16.782868921617446]
KHBR20-00093	[13.497822091593402]
BS-HS-64	[12.256039922576885]
BS-GIGI_15-replacement	[11.063003303577583]
BS-GIGI_26-replacement	[9.970144094887182]
BS-GIGI_40-replacement	[15.121917275956315]
INCOV053-AC-3	[12.578035862757782]
BS-GIGI_73-replacement	[12.41097529382949]
BS-HS-183	[13.173013369358932]
860011231	[16.175360276527552]
BS-HS-127	[13.654777615540779]
1057	[7.564181759227496]
KH20-09703	[13.441849597374235]
INCOV042-BL-3	[18.271065180838562]
860011308	[14.604343114033773]
550042547	[13.372490334474088]
KH20-09669	[16.213666748558172]
KH20-09956	[16.404350358306306]
860011487	[16.49496935799481]
860011262	[17.32355171071295]
KH20-09750	[14.47845978473413]
1004	[12.398598040014306]
INCOV057-BL-3	[17.96169596906524]
ADIRP0002505	[6.958999648041645]
KHBR20-00182	[6.071177959139022]
INCOV017-CV-3	[13.707521304333468]
BS-HS-181	[16.54357096482621]
ADIRP0000570	[15.334085505333244]
INCOV068-BL-3	[18.304552579836983]
INCOV018-BL-5	[12.938163033404162]
ADIRP0000868	[16.34030204815757]
KHBR20-00177	[16.663719883276965]
L-I-replacement	[13.607544028154953]
BS-GN-0002-T0-replacement	[13.549294894002113]
860011248	[14.194625933280305]
KHBR20-00091	[17.087881234226366]
3602BW	[18.00289911610043]
550043995	[15.851600641590396]
KH20-09729	[15.985843273642713]
KH20-11293	[16.820974341869448]
INCOV002-CV-3	[16.094481544311005]
860011322	[12.862565658542128]
BS-GIGI_24-replacement	[10.583681174711947]
KH20-11651	[16.79276680933884]
KHBR20-00124	[15.884556702765137]
INCOV086-AC-3	[11.10164220217994]
860011105	[8.299096963393568]
BS-HS-35	[14.517371575027953]
BS-GIGI_71-replacement	[10.608144562201655]
ADIRP0002058	[14.62519496814888]
BS-GIGI_42-replacement	[12.967963314992895]
KHBR20-00090	[14.643137000306437]
INCOV023-CV-3	[16.11369276728695]
860011249	[17.464158097687474]
ADIRP0002417	[16.004879127378974]
INCOV049-BL-3	[16.45983044737465]
BS-GN-0004-T0-replacement	[14.20842351328566]
BS-HS-34	[12.97685475414535]
KHBR20-00125	[17.488448890750814]
ADIRP0002444	[16.72946003285619]
KH20-11650	[5.615866769447682]
860011323	[14.871419717518751]
BS-HS-0176	[16.556757675105867]
BS-GIGI_25-replacement	[12.896214845585476]
BS-GIGI_16-replacement	[14.044441181233555]
1566449BW	[17.769145744343124]
BS-GIGI_70-replacement	[15.88072893868235]
4251BW	[13.388807730553612]
KH20-11292	[14.380880353730719]
BS-GIGI_43-replacement	[15.243282292163125]
KH20-09728	[13.246605845792194]
INCOV030-AC-3	[15.605105455503251]
860011309	[11.964916577895725]
ADIRP0000115	[16.770098178524034]
1056	[12.600743299603593]
BS-EQ-28-T1-replacement	[15.580159572214733]
KH20-09702	[16.83740476717114]
860011230	[14.948343460777185]
1253-DSGV-556	[15.49572384362507]
INCOV076-BL-3	[14.554279466752384]
INCOV006-BL-5	[15.53675788867255]
550042599	[15.584513475572509]
KH20-09988	[6.904591349283563]
BS-EQ-25-T1_BS-GIGI-71-replacement	[10.86451523817255]
ADIRP0001079	[17.94868032498816]
844960BW	[15.388198592747793]
550042515	[12.549776994782151]
ADIRP0000258	[17.497120795466397]
KHBR20-00183	[17.04097148682839]
KH20-09751	[11.940835344915]
INCOV025-AC-3	[13.127760004623322]
1005	[11.302962100541317]
860011263	[15.693220575158854]
INCOV063-BL-3	[14.074293463818213]
KH20-09668	[14.92757419168226]
KH20-09957	[13.32875062800857]
BS-GIGI_59-replacement	[15.80600403217264]
KHBR20-00200	[16.924303230566238]
ADIRP0002184	[18.766851866548325]
983-MG-1060	[13.523076998427024]
860011221	[8.109839791287927]
KH20-09713	[17.519159743577216]
1047	[17.05794728843985]
ADIRP0001325	[9.106222730598715]
BS-GIGI_95-replacement	[9.828020241374965]
INCOV087-BL-3	[11.728717902671088]
860011318	[8.312730992004731]
BS-EQ-0026-T0-replacement	[15.05021807907682]
INCOV019-AC-5	[15.746346806243404]
INCOV069-AC-3	[9.598084944811161]
KH20-09946	[16.282413534159854]
KH20-09679	[14.952298592586475]
KH20-11638	[8.40030823112171]
BS-HS-164	[12.100846248491125]
BS-EQ-31-T0-replacement	[14.321358877410594]
860011497	[16.765069932079296]
1014	[11.963830030845592]
KH20-09740	[9.42408506185224]
KH20-11701	[15.563650259760204]
KH20-09999	[14.277039031800545]
BS-HS-0200	[16.5562895859067]
KH20-11814	[14.797507312440825]
860011287	[12.06170966484562]
BS-HS-191	[16.27119711488583]
860011462	[11.826152700476909]
1328-CM-933	[14.292627521771822]
KHBR20-00167	[15.546545245192751]
INCOV056-AC-3	[18.572582848620804]
KHBR20-00081	[16.130619575166943]
860011258	[15.474814185819136]
KH20-09739	[16.315074046021277]
KHBR20-00134	[16.16787259332689]
INCOV043-AC-3	[15.79150312645484]
BS-EQ-0024-T0-replacement	[14.595674858731007]
KH20-11641	[16.04105296966414]
1566913BW	[17.719070442002124]
BS-EQ-33-T0-replacement	[14.531951701083456]
860011115	[17.420712425216816]
ADIRP0000045	[18.048044789093172]
860011259	[17.73704679735386]
550043908	[11.681882533838778]
BS-EQ-0022-T0-replacement	[11.527325692075074]
KHBR20-00080	[17.377593574149213]
550041393	[16.91997554200925]
BS-HS-77	[14.114890860697072]
KHBR20-00166	[12.277378069564142]
1566746BW	[15.67200299502101]
BS-EQ-35-T0-replacement	[12.726619052765141]
550042631	[12.085658665114304]
INCOV062-AC-3	[14.566693718663126]
INCOV012-AC-5	[16.540769284471022]
860011463	[11.301082142909047]
860011286	[14.786630807739877]
KH20-11815	[17.180526070411858]
1566319BW	[17.872454561208425]
BS-HS-190	[16.067846256427583]
BS-HS-24	[12.30387020919948]
860011114	[16.036577066642735]
KH20-11640	[14.210728918901873]
550043167	[15.91917822424871]
INCOV031-BL-3	[15.660430135723471]
KHBR20-00135	[16.64740254711319]
BS-EQ-0024-T1-replacement	[14.106750745586357]
INCOV007-AC-5	[16.8314351260013]
