sample_name	alpha_diversity_shannon
HIP13814	[13.645425668285478]
HIP03693	[17.47848265988337]
HIP00832	[16.790827010332332]
HIP02811	[16.911735589280244]
HIP13771	[15.94918911976091]
HIP17737	[14.552604541322648]
HIP05942	[16.628783536955897]
HIP14243	[17.553142230997835]
HIP11058	[17.273926419692483]
HIP01820	[17.033137326866193]
HIP02126	[17.36456158780143]
HIP14077	[17.146091965334012]
HIP00898	[16.528943955645808]
Keck0046_MC1	[16.481070995985498]
HIP14238	[16.80692879060461]
HIP13233	[16.519117864627937]
HIP11784	[16.059778322966803]
HIP01571	[15.974964337559502]
HIP14244	[16.775442049468726]
Keck0042_MC1	[16.35952532085964]
HIP14153	[17.19124055189648]
HIP14079	[17.843863473992805]
HIP01162	[16.058404646946546]
HIP14236	[11.5850410586041]
HIP13939	[16.781571449887466]
HIP14121	[16.657612441820923]
HIP17793	[15.610734159471802]
Keck0069_MC1	[18.8353046474369]
HIP13319	[15.729745581389153]
Keck0099_MC1	[17.587276602167403]
HIP13994	[14.25906510588981]
HIP13945	[15.27370645915588]
Keck0061_MC1	[16.700468537919818]
HIP02947	[16.98783923562581]
HIP09559	[17.607267384818158]
HIP13627	[15.049250518363685]
HIP11513	[17.43142301527745]
Keck0091_MC1	[16.260240422700623]
HIP13414	[15.975859411179023]
HIP12143	[16.58990505295069]
HIP13703	[15.616459655499588]
HIP03630	[15.462309858197973]
HIP03197	[16.254231735299598]
HIP11845	[16.230073215358765]
Keck0095_MC1	[18.54547982110626]
HIP14231	[16.89380691959162]
Keck0065_MC1	[16.572968860731358]
HIP09253	[17.277280164635524]
HIP14037	[15.395678837432714]
HIP00951	[16.18527803528416]
Keck0004_MC1	[16.56141237082709]
HIP13505	[13.788745258859924]
HIP01867	[17.71635418850161]
HIP09029	[17.188741384150465]
HIP00710	[15.187827458902277]
HIP05388	[15.631837391073951]
HIP13736	[16.173980821197077]
HIP13853	[18.208043465219]
HIP01181	[13.72090298055428]
HIP09789	[15.644978669465969]
HIP13350	[16.24511180219031]
Keck0008_MC1	[17.150216385336208]
HIP13854	[15.27207724924928]
HIP02734	[15.398593604124398]
HIP14114	[14.227293142809874]
HIP14030	[15.651048474973738]
HIP08977	[17.41389972202816]
HIP02271	[16.492542391112956]
HIP13274	[17.151678818770538]
HIP09020	[14.74931024913106]
Keck0104_MC1	[18.14576200298387]
HIP04510	[12.513267360145566]
HIP00924	[16.160808531399436]
Keck0023_MC1	[15.67203406745882]
HIP13902	[15.993235147477153]
HIP10817	[14.419993317139204]
HIP11553	[16.50587245631151]
HIP13206	[16.251043063122243]
HIP13667	[13.879132424025732]
Keck0027_MC1	[15.773106903558613]
HIP01232	[15.631347668373259]
HIP08821	[14.155046530414861]
Keck0100_MC1	[16.67007601705055]
HIP10597	[16.232909335701013]
HIP02790	[15.782734049123485]
HIP03677	[17.472641656291962]
HIP13325	[17.246292644590145]
HIP03216	[14.662472354065368]
HIP14039	[15.97950045941307]
HIP14161	[16.452435484698736]
Keck0108_MC1	[15.5083936877441]
HIP08792	[15.460179084483373]
HIP01298	[16.020178226208408]
HIP14045	[15.604411341281176]
HIP03495	[17.032021051221733]
HIP15855	[17.29170582003948]
HIP03099	[16.74062609045817]
HIP14170	[13.411393150440858]
HIP14028	[15.315232525755627]
HIP00773	[18.0175074944232]
HIP11937	[16.433920624242276]
HIP13671	[16.160976416823594]
HIP03484	[15.619617343083707]
HIP08439	[17.93202346531599]
Keck0019_MC1	[17.11103979506461]
HIP04611	[16.761238903805076]
HIP13217	[14.936544322420923]
HIP08399	[16.69379312638998]
HIP14053	[17.212689958671998]
Keck0011_MC1	[16.456406107244636]
HIP05390	[17.053754589650733]
HIP05437	[16.443935137703765]
Keck0015_MC1	[16.563234338764822]
HIP10408	[15.609445726524838]
HIP01223	[15.833752546239761]
HIP08346	[14.749112683738643]
HIP05561	[16.334204662869478]
HIP01197	[16.78703719672859]
HIP13894	[13.92786810099941]
HIP13720	[16.768859064566367]
HIP13265	[17.323964324552517]
Keck0119_MC1	[17.83380032467734]
HIP13961	[13.121980067763786]
HIP13513	[17.673838217727187]
HIP10377	[17.67831276821108]
HIP10716	[16.43394322936875]
Keck0111_MC1	[16.775792859413293]
HIP13966	[16.76160230969786]
Keck0036_MC1	[15.63348736671491]
Keck0032_MC1	[16.852057365794884]
HIP14911	[16.563399741840556]
Keck0115_MC1	[14.546838114221018]
HIP13893	[17.1948904725462]
HIP03275	[15.14837709836523]
HIP10846	[17.80523078662437]
Keck0053_MC1	[16.664621339779444]
HIP13636	[17.563156957295764]
HIP09366	[13.86243144213403]
Keck0057_MC1	[15.769880070667158]
HIP12533	[16.86499079902181]
HIP00734	[14.013362165537595]
HIP13877	[17.232711476234567]
HIP00851	[17.137270748364642]
HIP13928	[16.131518956500916]
HIP09624	[16.25008235558926]
HIP19717	[16.075073107886137]
HIP14130	[16.682839447457216]
HIP14227	[16.382950094020057]
HIP02875	[17.099431241166332]
HIP12534	[12.565933012588323]
HIP13402	[14.653544150484926]
HIP01264	[17.24067303906703]
HIP13954	[17.273931059428104]
HIP01391	[16.276638320730466]
HIP15685	[12.676231195888132]
HIP13769	[16.620213446288997]
HIP04597	[16.858248878760946]
HIP12129	[15.658618395943913]
HIP01218	[16.675381969096666]
HIP08521	[16.536930110293433]
HIP14014	[16.542018096010597]
