sample_name	alpha_diversity_shannon
HIP13926	[16.51632184166952]
HIP13554	[14.850846697518753]
HIP10787	[14.759941723912776]
Keck0074_MC1	[16.62868601250608]
HIP03628	[16.728826790482106]
Keck0084_MC1	[13.884977151704364]
HIP14066	[15.303427815423403]
Keck0080_MC1	[18.42658554200719]
HIP08805	[18.408726617398234]
HIP14142	[16.107668860557116]
HIP13198	[14.205440332013383]
Keck0070_MC1	[18.654628838554263]
HIP03592	[17.255518830036998]
HIP13306	[15.851232450243854]
HIP03685	[16.051412721481874]
HIP14194	[17.476015154730064]
HIP15860	[13.316785243070251]
Keck0088_MC1	[17.023833133642636]
HIP13760	[14.439720616571455]
HIP03125	[16.86498541182222]
Keck0078_MC1	[17.297585464754803]
HIP03812	[16.625521937830325]
HIP13695	[15.52613643055454]
HIP01022	[17.361998634127136]
HIP05405	[15.43523726924106]
HIP09775	[14.625675988321783]
HIP13324	[17.283110246750155]
HIP13794	[16.793267704965707]
HIP08827	[15.006812814035307]
HIP14160	[15.6953745656881]
HIP13978	[16.415210599178593]
Keck0010_MC1	[16.934757167848655]
HIP09026	[15.60439826533907]
HIP14095	[17.118854424475757]
Keck0014_MC1	[16.728274281237784]
HIP02112	[18.514608113750306]
HIP13661	[16.42315041244877]
HIP05578	[16.80971209155848]
HIP03494	[17.515216119959934]
HIP14092	[17.06922844723516]
HIP08200	[15.684285483128384]
HIP04511	[15.540338122587182]
HIP14043	[15.024139253226128]
HIP08389	[17.253248987236184]
HIP02663	[15.712696275111988]
HIP13903	[14.616531512372186]
HIP00640	[16.89025222238625]
HIP04498	[14.91414851591366]
HIP13793	[12.105028496006495]
HIP03107	[13.48499243160045]
Keck0018_MC1	[16.751081139004725]
Keck0110_MC1	[16.201363876063397]
HIP13427	[17.852496125451278]
HIP14202	[16.490753384536255]
Keck0037_MC1	[17.504190042596303]
HIP13209	[15.322636059025893]
HIP05455	[13.435555765430593]
HIP09344	[17.06025217221295]
Keck0033_MC1	[16.38270384780513]
Keck0114_MC1	[18.66616248610737]
HIP03678	[15.224779619357163]
HIP14036	[17.214916961626248]
HIP13976	[14.635009943751188]
HIP03720	[16.15420332064]
Keck0118_MC1	[15.525893402744982]
HIP01180	[16.383553057532826]
HIP13852	[14.20477840792663]
HIP14205	[15.347994195644652]
HIP17577	[15.986858735147306]
HIP05311	[11.797620659112575]
HIP05467	[13.44543964705998]
HIP05815	[16.199700543200183]
HIP13992	[12.845425605396532]
HIP10424	[15.0267028051611]
HIP01091	[15.883697295761172]
HIP13296	[13.698989992880318]
HIP02997	[13.935406930207133]
HIP12980	[15.729071522140611]
HIP13363	[16.447602573168986]
HIP14230	[17.108227518594862]
HIP04475	[16.439163522951524]
HIP14127	[15.249855003558686]
HIP10507	[15.80162148701889]
Keck0052_MC1	[13.846515019070173]
HIP13860	[16.692781328734707]
HIP04958	[13.990954726846029]
HIP09284	[16.639943696477392]
HIP14237	[15.850477834024753]
HIP08702	[15.752606312477802]
HIP13938	[15.059719347566043]
HIP17454	[17.115961722930322]
HIP05595	[13.752868709858685]
HIP14004	[16.168760104324413]
HIP05460	[13.262048187078925]
HIP07754	[17.93285720004626]
HIP13318	[14.492616062626347]
Keck0056_MC1	[16.946993885463733]
HIP13291	[17.379745002730942]
HIP13944	[12.466154151485265]
HIP13157	[15.377936726264354]
Keck0089_MC1	[16.43598628973313]
HIP14361	[15.893784341959892]
HIP02078	[15.438616367825967]
HIP10746	[16.315408746451578]
HIP10480	[16.623008621956586]
HIP10823	[16.981086794650896]
Keck0079_MC1	[16.53791631136124]
HIP03695	[14.86213685996647]
HIP13812	[14.511728918461044]
HIP01206	[15.278297794873724]
HIP13777	[16.354203743880735]
HIP14183	[11.80985658038204]
HIP14152	[11.334886562010482]
Keck0075_MC1	[17.25068920590454]
HIP13311	[14.573997544240854]
HIP14184	[15.915005126485518]
Keck0085_MC1	[16.424514517378675]
HIP01359	[16.77659432885546]
HIP13869	[15.977588140219675]
Keck0081_MC1	[16.903194703806832]
HIP14071	[15.049992440337194]
HIP08653	[16.42712811473603]
HIP04634	[17.22017942859762]
HIP13654	[17.638123938988993]
HIP01795	[15.105137592723338]
Keck0071_MC1	[17.480365741302496]
HIP13592	[16.84696281710367]
HIP14129	[17.274529813463694]
HIP13122	[16.62466418007276]
HIP00169	[15.648902352812152]
Keck0047_MC1	[16.721252330439903]
HIP09681	[14.282027031051875]
HIP15861	[15.493816980226782]
HIP03233	[17.177511398975028]
HIP00822	[16.313409912617338]
HIP13920	[16.57697716355909]
HIP10447	[16.539850317271295]
HIP14138	[15.973463067138907]
HIP08223	[15.904742503440342]
Keck0043_MC1	[15.523011722009946]
HIP14060	[13.00146157688245]
HIP04532	[17.545805622671963]
HIP03814	[17.468430139469692]
HIP17845	[15.91105884370959]
HIP14143	[14.64299059358532]
HIP14192	[17.48090755465292]
HIP13766	[14.998527878118853]
HIP13803	[16.887849212539766]
HIP10564	[17.08322459697376]
HIP00825	[17.482516265053754]
HIP13929	[16.18871038408845]
HIP17445	[16.649472040875263]
HIP17837	[16.68307492726563]
HIP19716	[15.523474272442872]
HIP10759	[16.028458196152435]
Keck0060_MC1	[16.70954542792555]
HIP14226	[16.465412095656998]
HIP13871	[16.43560668674826]
Keck0090_MC1	[16.297879888974645]
HIP11613	[15.939567403845267]
Keck0094_MC1	[17.994347945280456]
HIP13251	[16.12887968763035]
HIP13309	[17.565310031904662]
Keck0064_MC1	[17.023315063376625]
HIP14015	[15.706401797642346]
HIP01219	[14.80134253217503]
HIP13256	[16.432777144497635]
HIP13983	[14.593501510888617]
HIP13478	[12.141063336976933]
Keck0068_MC1	[16.518787865975565]
HIP14136	[15.608923654060124]
HIP04464	[15.164579836596344]
HIP05552	[17.520311805222025]
HIP14221	[16.146181126179307]
HIP02873	[15.63319900020715]
Keck0098_MC1	[17.50434558423854]
HIP10376	[15.922613814226871]
HIP13263	[15.631466484195744]
HIP02962	[14.020077088256098]
HIP03381	[15.45383912346895]
HIP13515	[12.379114617771062]
HIP13967	[15.280582161345762]
Keck0009_MC1	[16.673972427279853]
HIP00819	[16.321141223534152]
HIP14214	[16.981052783767428]
HIP17760	[16.287818416858276]
HIP04480	[16.64687430556042]
HIP14103	[15.121737129302689]
HIP04509	[12.442692588460863]
HIP03502	[16.942794189378496]
HIP13396	[17.106613445355944]
HIP01140	[17.43117162712288]
HIP05398	[17.18964059799314]
HIP14213	[16.66405064076029]
HIP03505	[13.755298013624529]
Keck0005_MC1	[17.223911123445912]
HIP00707	[13.90186108466212]
Keck0001_MC1	[16.158467126980614]
HIP01870	[15.383222027767003]
HIP00997	[17.77883405606702]
HIP14178	[17.001960297810427]
HIP14020	[16.929423470260144]
HIP17585	[17.213860680220947]
HIP05444	[17.92464745946938]
HIP01470	[16.582116582387005]
HIP00934	[16.763702329640513]
Keck0109_MC1	[16.351716147265847]
HIP00999	[16.918632817305955]
HIP05960	[16.53296919704536]
HIP14176	[15.064435462802722]
HIP13782	[12.73125572227119]
HIP12900	[16.256884802513678]
HIP00775	[15.173325327297594]
HIP05838	[17.264240573823354]
HIP13753	[11.619992784256354]
HIP15854	[16.045168440092635]
Keck0105_MC1	[17.76726439124802]
HIP01582	[14.942500704517814]
HIP13831	[15.375742151836677]
Keck0022_MC1	[16.55410653065918]
HIP03111	[14.454451515384122]
HIP02780	[16.116304591312804]
HIP13754	[17.27063151719793]
HIP02103	[17.858531969750427]
Keck0026_MC1	[15.600247620361458]
HIP01805	[17.15974325393014]
HIP13567	[17.2254118307433]
HIP14055	[16.2788295759534]
Keck0101_MC1	[14.994046239588846]
HIP02848	[14.532873644615112]
HIP03004	[16.582452443425016]
HIP10443	[16.120894354744255]
HIP13220	[15.456635136870869]
Keck0112_MC1	[16.147720879770162]
HIP12538	[17.176944181228723]
Keck0035_MC1	[15.904452536990732]
HIP14064	[17.405159952988996]
HIP09235	[16.37749313004197]
Keck0031_MC1	[17.523679100053936]
HIP14140	[16.607272788863902]
HIP13958	[17.048043971117806]
HIP09122	[16.994477296340257]
HIP13989	[14.123947643428203]
HIP05524	[15.352972153311864]
HIP17723	[16.029812145358722]
HIP02805	[16.671097622690134]
HIP14018	[17.068808367083605]
Keck0116_MC1	[17.779490495175466]
HIP00826	[14.807935403491717]
HIP13800	[11.571455490259694]
Keck0039_MC1	[16.123767552968687]
HIP14196	[14.39757871174055]
HIP13303	[16.770868570058873]
HIP03651	[17.094902082776017]
HIP08989	[17.44069668741378]
HIP03597	[16.985266979066154]
HIP13923	[10.544780064926895]
HIP13227	[16.219829038000746]
HIP09159	[15.91019184034325]
HIP09001	[18.103498971001635]
HIP13142	[17.37608454109092]
HIP13284	[13.611816473812675]
feature_frequency_in_adaptive	[-0.0]
HIP13951	[17.777475047632404]
HIP13193	[15.026354668416213]
Keck0012_MC1	[16.481241430090932]
HIP09364	[15.96413412879273]
HIP13809	[11.064617961914177]
Keck0016_MC1	[16.297003043907683]
HIP08400	[16.015572838185314]
HIP13699	[16.912828530227543]
HIP02928	[15.786268079501117]
HIP05551	[15.507812042853393]
HIP03184	[14.542253370249542]
HIP13710	[16.92372666944898]
HIP05409	[17.63731410115184]
HIP16738	[16.733670226278495]
HIP13875	[12.562219613539986]
HIP01499	[15.84475141719586]
HIP08710	[16.070310983743845]
HIP09150	[16.35213513373899]
HIP13376	[17.88467247426613]
HIP10602	[17.10679808286132]
HIP02877	[14.097945029623164]
HIP01266	[17.58363691689078]
HIP13956	[15.859564538211183]
HIP13987	[16.44258978174985]
HIP01055	[14.853503260793632]
HIP13252	[16.5444814462807]
HIP01393	[16.740823708862436]
HIP10726	[16.58617748109207]
HIP14016	[16.388918498985376]
HIP05563	[14.791072629706342]
HIP08725	[14.67348741431797]
HIP04455	[14.392330858683506]
HIP14107	[14.790650222195199]
HIP13847	[15.164045338004787]
HIP01253	[16.24375229400063]
HIP13722	[16.17897649789847]
HIP09119	[16.23300837114297]
HIP13511	[16.99880738549549]
HIP03385	[16.809301364058534]
HIP12097	[14.72310489211032]
HIP13449	[14.009883690137617]
HIP05331	[13.78237546374015]
HIP09041	[15.909857378844276]
HIP03732	[15.97591732606075]
HIP13964	[16.892749489410267]
Keck0077_MC1	[17.428157840128904]
HIP09097	[15.865857604494044]
HIP05757	[15.485272471258286]
HIP04576	[17.34784286927379]
HIP14024	[13.06853662539381]
HIP05832	[9.555815910183401]
Keck0087_MC1	[16.799490086904225]
HIP14494	[18.32248151941043]
HIP09046	[16.857640875340678]
HIP14217	[16.913050708366754]
Keck0083_MC1	[17.635606001354915]
Keck0073_MC1	[15.783226680633836]
HIP12165	[15.805219773878656]
HIP14089	[16.59950203942751]
HIP17370	[14.721963974064499]
HIP13518	[13.472049415137343]
HIP14172	[16.44560525578463]
HIP11774	[14.29181618162294]
HIP04578	[15.801147821142035]
HIP13786	[18.171331710200104]
HIP17698	[15.898786550008667]
HIP13757	[17.460642181508398]
HIP00771	[17.62540976219551]
HIP02024	[14.999999719049516]
Keck0058_MC1	[17.048456930433748]
HIP13916	[15.320805739211986]
HIP03618	[15.045525928499917]
HIP00594	[14.467345159435395]
HIP12034	[18.387960238578305]
HIP13911	[16.667214934939206]
HIP19089	[14.618494897435586]
HIP14109	[17.592199246552475]
Keck0050_MC1	[15.930537325909954]
HIP14051	[15.00684175302053]
HIP14080	[16.072328543639596]
HIP10639	[16.760014101086846]
HIP12099	[13.912705161846235]
HIP14175	[16.950288538694895]
HIP10694	[14.328259318755059]
HIP00813	[15.22606551641679]
Keck0054_MC1	[17.142261509547655]
Keck0062_MC1	[16.696582082010025]
HIP09022	[15.208863944452311]
HIP04605	[16.083870153671924]
HIP17534	[16.715322280398595]
HIP13900	[15.082612612134422]
Keck0092_MC1	[17.164155518023865]
HIP10815	[13.937609988808715]
HIP00926	[17.512835357203883]
HIP14118	[16.79544588346849]
HIP13741	[16.71266170224712]
Keck0096_MC1	[16.01103161606342]
HIP01597	[16.640318338575526]
Keck0066_MC1	[15.881709959937911]
HIP12088	[17.771669792797017]
HIP13746	[14.520516701966207]
HIP13823	[15.934215534354157]
HIP00805	[17.303517138965756]
HIP11989	[15.992833105705499]
HIP13168	[16.856485150511393]
HIP14096	[14.317830207838234]
HIP01313	[16.750333237322124]
HIP01465	[16.237931435821892]
HIP01004	[16.51820997520551]
Keck0045_MC1	[15.998268131937559]
HIP08972	[16.012124663876328]
HIP13975	[17.55368307675263]
HIP13610	[15.512081852944807]
HIP01865	[9.58073187609247]
HIP13880	[15.044070626991907]
HIP13355	[15.562772083828571]
HIP11717	[14.528174433880302]
Keck0041_MC1	[15.572755819779163]
HIP14206	[16.990659205143704]
HIP13352	[16.225963882428225]
HIP13887	[16.94987675413624]
HIP00715	[17.400679336486963]
HIP13383	[16.019851846165576]
HIP13856	[16.81973537108619]
HIP05665	[15.941132518406345]
HIP17462	[15.714061488850621]
Keck0049_MC1	[17.493778213464253]
HIP01129	[17.4332397191168]
HIP13489	[16.16481872872286]
HIP00769	[17.03641773976384]
HIP08507	[17.564208539744936]
HIP13972	[16.260943438840563]
HIP00985	[17.200010996126835]
HIP13276	[17.142244500848278]
HIP01160	[15.525230801987796]
HIP12527	[16.46369287055473]
HIP01501	[12.760949296185156]
HIP14234	[15.009449017831576]
HIP04471	[16.65297681598992]
HIP09190	[16.67016266755008]
HIP17457	[15.19685113610945]
HIP14007	[15.288821859888802]
HIP04555	[17.622216975776315]
HIP03228	[17.835763315393972]
HIP13996	[15.85754634394446]
Keck0028_MC1	[16.528017501411167]
HIP03370	[16.30373590498758]
HIP13185	[16.495607854118923]
HIP13947	[15.825644041446665]
HIP14000	[18.39557838045194]
Keck0107_MC1	[17.26693938921218]
HIP04552	[17.460316875984546]
HIP13818	[15.34880031633681]
HIP09062	[16.882234393564975]
HIP13244	[16.46531431283807]
HIP10730	[15.370786857168968]
HIP01850	[16.211041142889055]
HIP13625	[15.917326911572466]
Keck0020_MC1	[15.795197404125846]
HIP13360	[15.093115775722785]
HIP08598	[17.117667744752236]
Keck0024_MC1	[14.882292536382714]
HIP01798	[16.351897323340992]
Keck0103_MC1	[16.584442450645415]
HIP05540	[17.1163627319775]
HIP14124	[17.02206535441513]
HIP13773	[14.296831681054229]
HIP14241	[16.850908821908675]
HIP14187	[13.721381697497517]
HIP14156	[15.438764267322727]
HIP14072	[15.78813396278721]
HIP08596	[13.077941318117963]
HIP13686	[14.742844276871196]
HIP13932	[15.810786401617223]
HIP04527	[11.885318132148962]
Keck0120_MC1	[17.698803402225195]
HIP08236	[17.882958270902282]
Keck0007_MC1	[15.19039587574089]
HIP13935	[16.701307549033455]
HIP10820	[16.771067531662947]
HIP14009	[16.206187322024277]
HIP13463	[17.835883346767048]
HIP13774	[14.98358339243386]
Keck0003_MC1	[17.419785267028963]
HIP10358	[16.83498367893373]
HIP11518	[16.467890747796126]
HIP05535	[16.640563757372846]
HIP08816	[13.468202084063682]
HIP10389	[16.907945149630056]
HIP13949	[15.421218564762354]
HIP03746	[16.398240130480247]
HIP13214	[16.829513793116547]
HIP01765	[15.156215163311387]
HIP12743	[12.562412013787615]
HIP06191	[17.004487500981114]
HIP13848	[15.454451441980689]
HIP05434	[15.660112657930288]
HIP08337	[15.294121980087995]
HIP14174	[16.89918353501819]
HIP13780	[17.487574252754428]
HIP01220	[15.537117793845498]
HIP13751	[16.344471573136687]
HIP00777	[17.05636094167542]
HIP13497	[16.586157945193285]
Keck0063_MC1	[16.4201247279926]
HIP13178	[16.787180626079106]
HIP13833	[15.270785981520532]
Keck0093_MC1	[17.89670978801887]
Keck0097_MC1	[18.17443356804573]
HIP14218	[17.42274997761324]
Keck0067_MC1	[14.229964956816394]
HIP14844	[15.652208476937464]
HIP00869	[16.949699006779152]
HIP05841	[15.653851883965308]
HIP16867	[16.166997427943592]
HIP08499	[16.81439625942734]
HIP12091	[15.500425959936067]
HIP13176	[17.24560850177499]
HIP03383	[16.255226373115494]
HIP13789	[16.291646008334773]
Keck0048_MC1	[16.780600448924243]
HIP13919	[14.33711756108659]
HIP01255	[18.037318543160566]
HIP14059	[17.391863876847545]
HIP08890	[15.965454265372848]
HIP08345	[17.469554842491746]
HIP14211	[17.27435311462934]
Keck0044_MC1	[16.23152022860156]
HIP14106	[11.952296195350183]
HIP08339	[17.162423616510374]
HIP09118	[17.4591641787408]
HIP13962	[12.008999210343188]
Keck0040_MC1	[17.09263250564172]
HIP14022	[17.648671151264082]
HIP00779	[15.345542912122935]
Keck0106_MC1	[17.139566100038977]
HIP08711	[16.94377553348002]
HIP10514	[16.785332268170073]
Keck0021_MC1	[18.100217794941944]
HIP00971	[15.638149828179083]
Keck0025_MC1	[16.321098962030813]
HIP13986	[16.009352211270475]
HIP00614	[15.214363116552667]
HIP01392	[16.49839576437265]
Keck0102_MC1	[17.121463531447905]
HIP04545	[16.561327816250223]
HIP10568	[15.253154723387475]
HIP12703	[13.342922984164076]
HIP14148	[15.624762908844565]
HIP13981	[16.176138038677266]
HIP08986	[14.657686935069721]
HIP09365	[17.180389692509184]
HIP05763	[7.947710112285372]
HIP14134	[14.86465108043163]
HIP17440	[17.630016534415113]
HIP13228	[17.182415010869324]
HIP14223	[13.347906122957994]
HIP11857	[15.481907514941863]
Keck0029_MC1	[16.85302646532039]
HIP13370	[15.960612608045698]
HIP08305	[14.687032189312285]
HIP12123	[15.40739452671271]
HIP13015	[17.62316329011144]
HIP13806	[15.379297440461803]
Keck0006_MC1	[16.907144602682628]
HIP00904	[16.530452612703794]
HIP10445	[16.51851439392228]
Keck0002_MC1	[14.621015614203309]
HIP17449	[16.78461344465137]
HIP00110	[15.082127624990187]
HIP05559	[16.79449846737386]
HIP05377	[16.2021740657985]
HIP13988	[13.843635391512516]
HIP03591	[14.59969007232942]
HIP03236	[17.83531847050641]
HIP13764	[17.783627208979624]
HIP13473	[17.58503213069251]
HIP14074	[17.602090314572223]
HIP14363	[17.791117571244907]
Keck0038_MC1	[16.16036809491842]
HIP13709	[16.689852281576904]
HIP13230	[14.962399940128465]
HIP02931	[16.785663854792155]
HIP03807	[15.208262355760594]
HIP10821	[16.678832955034743]
HIP13810	[13.585443727924167]
HIP17887	[16.63457181749282]
HIP14181	[17.417750056922124]
HIP13465	[15.153789904280126]
Keck0113_MC1	[18.621407049137577]
HIP14240	[17.15804393066251]
Keck0034_MC1	[17.438180285167192]
HIP16515	[12.91781895415624]
HIP03378	[16.27876888115854]
HIP05533	[16.948109901709987]
HIP05941	[17.013512088363854]
HIP14157	[15.967360253484435]
Keck0030_MC1	[16.603823042749042]
HIP00728	[15.360613197013992]
HIP08230	[16.743735362315885]
HIP01797	[16.419739828030078]
Keck0117_MC1	[15.682655765891727]
HIP13933	[16.21387043185849]
HIP10669	[15.70351777803569]
HIP05817	[17.102171552623577]
HIP00602	[15.677286501415809]
HIP13245	[14.515599949004807]
HIP01384	[13.515183177826573]
HIP13183	[16.71832033696406]
HIP13294	[16.829049664425547]
HIP13941	[17.049458995040002]
HIP13865	[15.527624165735274]
HIP13361	[14.586885810805972]
HIP03194	[14.58944650800172]
HIP13658	[17.82898859309731]
HIP05590	[13.384360450175695]
HIP01161	[16.716045431626412]
Keck0013_MC1	[17.526597908023888]
HIP05934	[16.01406178609341]
HIP08076	[17.476515055716106]
HIP00838	[17.49892955126805]
HIP11758	[15.833455483405332]
Keck0017_MC1	[16.682882631994712]
HIP05948	[16.449021888971025]
HIP01856	[14.643174176408145]
HIP01947	[17.297461128354787]
HIP02090	[17.363235696347655]
Keck0076_MC1	[14.346962631424315]
HIP02737	[15.86698364707271]
HIP13857	[15.71187200892622]
HIP11711	[15.075790453637048]
HIP11649	[14.966199128952958]
Keck0086_MC1	[17.134355074923757]
HIP09430	[16.8870099771605]
HIP09051	[14.174284095210698]
Keck0082_MC1	[15.685004212168103]
Keck0072_MC1	[17.6861780447354]
HIP13749	[16.94691457330421]
HIP17657	[16.53133619406476]
HIP14034	[17.425309983338884]
HIP02855	[18.033804306350103]
HIP03511	[15.769314667080785]
HIP14048	[17.027680739638075]
HIP14110	[13.233693038182192]
HIP05574	[16.810968235225623]
HIP00761	[15.445439524990578]
HIP10545	[15.312873692958055]
HIP02742	[15.498698477017525]
Keck0051_MC1	[14.896338020453351]
HIP13822	[15.926823387926927]
HIP13796	[18.061728103039012]
HIP08888	[17.53147217289703]
HIP13663	[16.948967042739767]
HIP14209	[16.091559254651468]
Keck0055_MC1	[16.404445608223007]
HIP14090	[15.483030954132506]
HIP13859	[15.437908900083672]
HIP14041	[15.819270622198484]
HIP10814	[15.880002387173572]
HIP19048	[15.0935423006386]
HIP02820	[17.678640882844277]
Keck0059_MC1	[11.892187471772381]
HIP01596	[16.630190350297774]
