j_segments	frequency
TRAJ34	0.199
TRAJ37	0.013
TRAJ57	0.134
TRAJ10	0.004
TRAJ22	0.086
TRAJ8	0.025
TRAJ5	0.01
TRAJ45	0.032
TRAJ38	0.056
TRAJ58	0.07
TRAJ47	0.039
TRAJ35	0.011
TRAJ56	0.042
TRAJ49	0.022
TRAJ28	0.015
TRAJ54	0.018
TRAJ32	0.007
TRAJ42	0.013
TRAJ16	0.014
TRAJ43	0.018
TRAJ20	0.028
TRAJ11	0.005
TRAJ17	0.014
TRAJ40	0.03
TRAJ39	0.011
TRAJ13	0.004
TRAJ33	0.006
TRAJ31	0.009
TRAJ4	0.002
TRAJ53	0.006
TRAJ23	0.008
TRAJ29	0.009
TRAJ61	0.006
TRAJ3	0.002
TRAJ27	0.006
TRAJ24	0.005
TRAJ12	0.004
TRAJ46	0.001
TRAJ44	0.004
TRAJ36	0.001
TRAJ18	0.004
TRAJ41	0.002
TRAJ15	0.002
TRAJ52	0.002
TRAJ50	0.001
