v_segments	frequency
TRAV1-2	0.028
TRAV2	0.062
TRAV21	0.145
TRAV41	0.01
TRAV9-2	0.08
TRAV17	0.062
TRAV27	0.055
TRAV8-6	0.035
TRAV12-2	0.015
TRAV20	0.025
TRAV22	0.006
TRAV24	0.022
TRAV25	0.036
TRAV16	0.04
TRAV35	0.024
TRAV13-1	0.02
TRAV1-1	0.006
TRAV6	0.06
TRAV12-3	0.026
TRAV8-4	0.03
TRAV38-2DV8	0.016
TRAV19	0.049
TRAV23DV6	0.011
TRAV8-3	0.015
TRAV5	0.006
TRAV39	0.03
TRAV8-1	0.01
TRAV38-1	0.002
TRAV8-2	0.002
TRAV3	0.006
TRAV36DV7	0.003
TRAV26-1	0.015
TRAV13-2	0.004
TRAV40	0.005
TRAV12-1	0.007
TRAV10	0.02
TRAV29DV5	0.004
TRAV14DV4	0.004
TRAV26-2	0.004
